谍影重重3,,,,,,,
洛城机密,七宗罪,大卫·戈尔的一生,,,,,
非常嫌疑犯 The Usual Suspects,记忆碎片,洛城机密,一级恐惧,大卫·戈尔的一生,控方证人,七宗罪,禁闭岛
电锯惊魂,,,,,,,
网络谜踪,控方证人,记忆碎片,,,,,
大卫·戈尔的一生 The Life of David Gale,一级恐惧,记忆碎片,控方证人,洛城机密,禁闭岛,七宗罪,
洛城机密,,,,,,,
控方证人,十二怒汉（电视版）,记忆碎片,七宗罪,,,,
洛城机密,,,,,,,
七宗罪,致命ID,孤儿怨,电锯惊魂,,,,
记忆碎片,一级恐惧,七宗罪,,,,,
网络谜踪 Searching,记忆碎片,控方证人,禁闭岛,消失的爱人,,,
谍影重重3,,,,,,,
谍影重重3,,,,,,,
一级恐惧 Primal Fear,记忆碎片,大卫·戈尔的一生,洛城机密,致命ID,控方证人,七宗罪,禁闭岛
禁闭岛,记忆碎片,,,,,,
控方证人,电话谋杀案,后窗,爱德华大夫,西北偏北,,,
控方证人,电话谋杀案,后窗,西北偏北,爱德华大夫,,,
洛城机密,双重赔偿,唐人街,电话谋杀案,,,,
洛城机密,,,,,,,
王牌对王牌 The Negotiator,洛城机密,一级恐惧,大卫·戈尔的一生,局内人,,,
记忆碎片,控方证人,禁闭岛,,,,,
洛城机密,一级恐惧,,,,,,
杀死一只知更鸟 To Kill a Mockingbird,西北偏北,电话谋杀案,控方证人,双重赔偿,唐人街,后窗,爱德华大夫
谍影重重3,,,,,,,
洛城机密,七宗罪,,,,,,
黑洞频率 Frequency,异次元骇客,十二猴子,源代码,,,,
谍影重重3,,,,,,,
致命ID,小岛惊魂,万能钥匙,,,,,
惊魂记,群鸟,迷魂记,,,,,
囚徒,一级恐惧,洛城机密,龙纹身的女孩,,,,
控方证人,网络谜踪,禁闭岛,记忆碎片,,,,
网络谜踪,控方证人,,,,,,
网络谜踪,,,,,,,
小岛惊魂,惊魂记,万能钥匙,幻影凶间,孤儿怨,,,
网络谜踪,,,,,,,
记忆碎片,一级恐惧,禁闭岛,网络谜踪,致命ID,控方证人,,
谍影重重3,,,,,,,
唐人街 Chinatown,双重赔偿,西北偏北,电话谋杀案,后窗,马耳他之鹰,迷魂记,洛城机密
一级恐惧,洛城机密,大卫·戈尔的一生,记忆碎片,龙纹身的女孩,,,
洛城机密,一级恐惧,大卫·戈尔的一生,七宗罪,,,,
利刃出鞘 Knives Out,网络谜踪,控方证人,记忆碎片,禁闭岛,,,
谍影重重3,,,,,,,
双重赔偿 Double Indemnity,唐人街,电话谋杀案,西北偏北,马耳他之鹰,后窗,,
龙纹身的女孩 The Girl with the Dragon Tattoo,记忆碎片,十二宫,七宗罪,一级恐惧,禁闭岛,大卫·戈尔的一生,
双重赔偿,,,,,,,
大卫·戈尔的一生,洛城机密,记忆碎片,一级恐惧,龙纹身的女孩,囚徒,,
赛末点 Match Point,,,,,,,
网络谜踪,,,,,,,
惊天魔盗团,,,,,,,
控方证人,网络谜踪,禁闭岛,,,,,
囚徒 Prisoners,一级恐惧,十二宫,大卫·戈尔的一生,龙纹身的女孩,洛城机密,记忆碎片,
电话谋杀案,爱德华大夫,控方证人,死亡约会,,,,
捕蝇纸,,,,,,,
一级恐惧,,,,,,,
洛城机密,,,,,,,
局内人,洛城机密,一级恐惧,,,,,
唐人街,,,,,,,
唐人街,后窗,迷魂记,,,,,
劫匪,洛城机密,,,,,,
惊天魔盗团,,,,,,,
惊天魔盗团,,,,,,,
记忆碎片,一级恐惧,禁闭岛,致命ID,万能钥匙,七宗罪,,
血迷宫,唐人街,洛城机密,,,,,
谍影重重3,,,,,,,
局内人,洛城机密,,,,,,
