,title,director0,director1,director2,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,lang1,lang2,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
18,告白,中岛哲,unknown,unknown,松隆子,冈田将生,木村佳乃,剧情,悬疑,unknown,日本,日语,unknown,unknown,2010,记忆碎片,禁闭岛,致命ID,看不见的客人,恐怖游轮,杀人回忆,七宗罪,沉默的羔羊,控方证人,嫌疑人X的献身
19,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,迈克·内威,unknown,unknown,丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,悬疑,奇幻,冒险,英国,英语,unknown,unknown,2005,哈利·波特与密室,神奇动物在哪里,加勒比海盗,霍比特人1：意外之旅,指环王1：护戒使者,查理和巧克力工厂,少年派的奇幻漂流,奇异博士,头号玩家,倩女幽魂
20,电锯惊魂 Saw,温子,unknown,unknown,雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2004,电锯惊魂2,恐怖游轮,死神来了,闪灵,死寂,致命ID,招魂,万能钥匙,沉默的羔羊,孤儿怨
21,谍影重重3 The Bourne Ultimatum,保罗·格林格拉,unknown,unknown,马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,动作,悬疑,惊悚,美国,英语,unknown,unknown,2007,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
22,罗生门 羅生門,黑泽,unknown,unknown,三船敏郎,京町子,森雅之,剧情,悬疑,犯罪,日本,日语,unknown,unknown,1950,控方证人,记忆碎片,后窗,穆赫兰道,惊魂记,追随,禁闭岛,西北偏北,十二怒汉,杀人回忆
23,电话谋杀案 Dial M for Murder,阿尔弗雷德·希区柯,unknown,unknown,雷·米兰德,格蕾丝·凯利,罗伯特·卡明斯,悬疑,惊悚,犯罪,美国,英语,unknown,unknown,1954,后窗,西北偏北,夺魂索,爱德华大夫,迷魂记,贵妇失踪记,火车怪客,惊魂记,三十九级台阶,深闺疑云
24,十二怒汉（电视版） Studio One: Twelve Angry Men,富兰克林·沙夫,unknown,unknown,罗伯特·卡明斯,法兰奇·汤恩,爱德华·阿诺德,剧情,悬疑,犯罪,美国,英语,unknown,unknown,1954,控方证人,十二怒汉,非常嫌疑犯,记忆碎片,看不见的客人,追随,禁闭岛,大卫·戈尔的一生,致命魔术,一级恐惧
25,神探夏洛克：最后的誓言 Sherlock: His Last Vow,尼克·赫,unknown,unknown,本尼迪克特·康伯巴奇,马丁·弗瑞曼,鲁珀特·格雷夫斯,剧情,悬疑,犯罪,英国,英语,unknown,unknown,2014,神探夏洛克：可恶的新娘,大侦探福尔摩斯2：诡影游戏,利刃出鞘,看不见的客人,控方证人,记忆碎片,禁闭岛,致命魔术,网络谜踪,惊天魔盗团
26,消失的爱人 Gone Girl,大卫·芬,unknown,unknown,本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2014,看不见的客人,禁闭岛,记忆碎片,致命ID,七宗罪,控方证人,恐怖游轮,杀人回忆,沉默的羔羊,利刃出鞘
27,心迷宫,忻钰,unknown,unknown,霍卫民,王笑天,罗芸,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2014,看不见的客人,暴裂无声,控方证人,杀人回忆,记忆碎片,利刃出鞘,恐怖直播,禁闭岛,追随,网络谜踪
28,恐怖直播 더 테러 라이브,金秉,unknown,unknown,河正宇,李璟荣,全慧珍,剧情,悬疑,犯罪,韩国,韩语,unknown,unknown,2013,杀人回忆,看不见的客人,猫鼠游戏,记忆碎片,七宗罪,控方证人,追击者,致命ID,禁闭岛,心迷宫
29,记忆碎片 Memento,克里斯托弗·诺,unknown,unknown,盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2000,禁闭岛,致命魔术,穆赫兰道,恐怖游轮,非常嫌疑犯,追随,看不见的客人,七宗罪,蝴蝶效应,控方证人
30,洛城机密 L.A. Confidential,柯蒂斯·汉,unknown,unknown,凯文·史派西,罗素·克劳,盖·皮尔斯,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1997,非常嫌疑犯,王牌对王牌,一级恐惧,大卫·戈尔的一生,追随,火柴人,记忆碎片,控方证人,天才瑞普利,老无所依
31,谍影重重2 The Bourne Supremacy,保罗·格林格拉,unknown,unknown,马特·达蒙,布莱恩·考克斯,琼·艾伦,动作,悬疑,惊悚,美国,英语,unknown,unknown,2004,谍影重重3,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
32,公民凯恩 Citizen Kane,奥逊·威尔,unknown,unknown,奥逊·威尔斯,约瑟夫·科顿,多萝西·康明戈尔,剧情,悬疑,unknown,美国,英语,unknown,unknown,1941,曼克,圣女贞德蒙难记,社交网络,莫扎特传,愤怒的公牛,阮玲玉,甘地传,末代皇帝,镜子,波西米亚狂想曲
33,斯隆女士 Miss Sloane,约翰·马,unknown,unknown,杰西卡·查斯坦,古古·姆巴塔-劳,约翰·利思戈,剧情,悬疑,unknown,美国,英语,unknown,unknown,2016,看不见的客人,利刃出鞘,网络谜踪,控方证人,特工,追随,大卫·戈尔的一生,致命魔术,罪恶之家,非常嫌疑犯
34,后窗 Rear Window,阿尔弗雷德·希区柯,unknown,unknown,詹姆斯·斯图尔特,格蕾丝·凯利,温戴尔·柯瑞,悬疑,惊悚,unknown,美国,英语,unknown,unknown,1954,迷魂记,西北偏北,电话谋杀案,惊魂记,爱德华大夫,夺魂索,蝴蝶梦,贵妇失踪记,三十九级台阶,火车怪客
35,谍影重重 The Bourne Identity,道格·里,unknown,unknown,马特·达蒙,弗朗卡·波滕特,克里斯·库珀,动作,悬疑,惊悚,美国,英语,unknown,unknown,2002,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
36,迷魂记 Vertigo,阿尔弗雷德·希区柯,unknown,unknown,詹姆斯·斯图尔特,金·诺瓦克,芭芭拉·贝尔·戈迪斯,爱情,悬疑,惊悚,美国,英语,unknown,unknown,1958,后窗,西北偏北,电话谋杀案,惊魂记,爱德华大夫,蝴蝶梦,夺魂索,贵妇失踪记,群鸟,三十九级台阶
37,蓝白红三部曲之红 Trois couleurs: Rouge,克日什托夫·基耶斯洛夫斯,unknown,unknown,伊莲娜·雅各布,让-路易·特兰蒂尼昂,弗雷德里奎·费德,剧情,爱情,悬疑,法国,法语,unknown,unknown,1994,蓝白红三部曲之蓝,两生花,乡愁,永恒和一日,新桥恋人,雾中风景,春天的故事,秋天的故事,对她说,花样年华
38,非常嫌疑犯 The Usual Suspects,布莱恩·辛,unknown,unknown,史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗,悬疑,惊悚,犯罪,德国,德语,unknown,unknown,1995,记忆碎片,洛城机密,追随,一级恐惧,大卫·戈尔的一生,控方证人,七宗罪,穆赫兰道,王牌对王牌,禁闭岛
39,误杀瞒天记 Drishyam,尼西卡特·卡马,unknown,unknown,阿贾耶·德乌干,塔布,施芮娅·萨兰,剧情,悬疑,犯罪,印度,印地语,unknown,unknown,2015,看不见的客人,利刃出鞘,网络谜踪,控方证人,特工,杀人回忆,调音师,记忆碎片,蒙太奇,我是谁：没有绝对安全的系统
40,大卫·戈尔的一生 The Life of David Gale,艾伦·帕,unknown,unknown,凯文·史派西,凯特·温丝莱特,劳拉·琳妮,剧情,悬疑,犯罪,美国,英语,unknown,unknown,2003,非常嫌疑犯,追随,一级恐惧,记忆碎片,控方证人,洛城机密,看不见的客人,禁闭岛,穆赫兰道,七宗罪
41,守望者 Watchmen,扎克·施奈,unknown,unknown,帕特里克·威尔森,卡拉·古奇诺,比利·克鲁德普,动作,科幻,悬疑,美国,英语,unknown,unknown,2009,扎克·施奈德版正义联盟,黑客帝国2：重装上阵,蝙蝠侠：侠影之谜,X战警：逆转未来,终结者2：审判日,超人：钢铁之躯,我，机器人,银翼杀手,蜘蛛侠,变形金刚
42,恐怖游轮 Triangle,克里斯托弗·史密,unknown,unknown,梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼,剧情,悬疑,惊悚,英国,英语,unknown,unknown,2009,致命ID,禁闭岛,万能钥匙,闪灵,小岛惊魂,记忆碎片,第六感,孤儿怨,死神来了,沉默的羔羊
43,源代码 Source Code,邓肯·琼,unknown,unknown,杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉,科幻,悬疑,惊悚,美国,英语,unknown,unknown,2011,盗梦空间,黑客帝国,这个男人来自地球,蝴蝶效应,致命魔术,阿凡达,终结者2：审判日,第九区,明日边缘,彗星来的那一夜
44,血观音 血觀音,杨雅,unknown,unknown,惠英红,吴可熙,文淇,剧情,悬疑,unknown,中国台湾,国语,unknown,unknown,2017,看不见的客人,杀人回忆,控方证人,网络谜踪,暴裂无声,利刃出鞘,燃烧,心迷宫,目击者之追凶,猫鼠游戏
45,彗星来的那一夜 Coherence,詹姆斯·沃德·布柯,unknown,unknown,艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登,科幻,悬疑,惊悚,美国,英语,unknown,unknown,2013,这个男人来自地球,蝴蝶效应,恐怖游轮,盗梦空间,源代码,致命魔术,记忆碎片,禁闭岛,看不见的客人,前目的地
46,神探,杜琪,unknown,unknown,刘青云,安志杰,林家栋,动作,悬疑,惊悚,中国香港,国语,unknown,unknown,2007,非常嫌疑犯,杀人回忆,记忆碎片,门徒,看不见的客人,追随,一级恐惧,七宗罪,猫鼠游戏,恐怖直播
47,网络谜踪 Searching,阿尼什·查甘,unknown,unknown,约翰·赵,米切尔·拉,黛博拉·梅辛,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2018,看不见的客人,利刃出鞘,记忆碎片,控方证人,禁闭岛,特工,致命魔术,海市蜃楼,杀人回忆,消失的爱人
48,小姐 아가씨,朴赞,unknown,unknown,金敏喜,金泰梨,河正宇,剧情,悬疑,情色,韩国,韩语,unknown,unknown,2016,燃烧女子的肖像,阿黛尔的生活,卡罗尔,蓝宇,春光乍泄,谁先爱上他的,喜宴,请以你的名字呼唤我,断背山,面子
49,赎罪 Atonement,乔·赖,unknown,unknown,詹姆斯·麦卡沃伊,西尔莎·罗南,凯拉·奈特莉,剧情,爱情,悬疑,英国,英语,unknown,unknown,2007,爱在黎明破晓前,面纱,罗马假日,傲慢与偏见,恋恋笔记本,诺丁山,重庆森林,花样年华,成为简·奥斯汀,一天
50,心理游戏 マインド・ゲーム,汤浅政,unknown,unknown,今田耕司,藤井隆,山口智充,喜剧,动画,悬疑,日本,日语,unknown,unknown,2004,天才嘉年华,恶童,回忆三部曲,猫汤,东京教父,千年女优,落叶,红辣椒,悲伤的贝拉多娜,未麻的部屋
51,月球 Moon,邓肯·琼,unknown,unknown,山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特,剧情,科幻,悬疑,英国,英语,unknown,unknown,2009,这个男人来自地球,超时空接触,第九区,十二猴子,2001太空漫游,源代码,K星异客,黑客帝国3：矩阵革命,异次元骇客,千钧一发
52,一级恐惧 Primal Fear,格里高利·霍布里,unknown,unknown,理查·基尔,爱德华·诺顿,劳拉·琳妮,剧情,悬疑,犯罪,美国,英语,unknown,unknown,1996,非常嫌疑犯,记忆碎片,大卫·戈尔的一生,追随,洛城机密,致命ID,控方证人,七宗罪,禁闭岛,穆赫兰道
53,登堂入室 Dans la maison,弗朗索瓦·欧,unknown,unknown,法布莱斯·鲁奇尼,恩斯特·吴默埃,克里斯汀·斯科特·托马斯,剧情,悬疑,unknown,法国,法语,unknown,unknown,2012,追随,穆赫兰道,记忆碎片,控方证人,后窗,看不见的客人,禁闭岛,大卫·戈尔的一生,罪恶之家,致命魔术
54,尼罗河上的惨案 Death on the Nile,约翰·吉勒,unknown,unknown,彼得·乌斯蒂诺夫,简·伯金,洛伊丝·奇利斯,剧情,悬疑,犯罪,英国,英语,unknown,unknown,1978,阳光下的罪恶,东方快车谋杀案,尼罗河上的惨案,控方证人,电话谋杀案,啤酒谋杀案,后窗,爱德华大夫,西北偏北,看不见的客人
55,东方快车谋杀案 Murder on the Orient Express,西德尼·吕美,unknown,unknown,阿尔伯特·芬尼,劳伦·白考尔,马丁·鲍尔萨姆,剧情,悬疑,犯罪,英国,英语,unknown,unknown,1974,尼罗河上的惨案,阳光下的罪恶,控方证人,电话谋杀案,后窗,西北偏北,东方快车谋杀案,爱德华大夫,啤酒谋杀案,看不见的客人
56,巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs,伊桑·科,unknown,unknown,哈利·米尔林,佐伊·卡赞,连姆·尼森,剧情,喜剧,爱情,美国,英语,unknown,unknown,2018,大佛普拉斯,荒蛮故事,同学麦娜丝,两杆大烟枪,谋杀绿脚趾,杰出公民,八恶人,偷拐抢骗,方形,绅士们
57,穆赫兰道 Mulholland Dr.,大卫·林,unknown,unknown,娜奥米·沃茨,劳拉·哈灵,安·米勒,剧情,悬疑,惊悚,法国,法语,unknown,unknown,2001,记忆碎片,禁闭岛,致命魔术,恐怖游轮,非常嫌疑犯,追随,控方证人,惊魂记,蝴蝶效应,看不见的客人
58,王牌对王牌 The Negotiator,F·加里·格,unknown,unknown,塞缪尔·杰克逊,凯文·史派西,大卫·摩斯,剧情,动作,悬疑,美国,英语,unknown,unknown,1998,洛城机密,非常嫌疑犯,火柴人,一级恐惧,大卫·戈尔的一生,局内人,守法公民,十一罗汉,空中监狱,追随
59,嫌疑人X的献身 容疑者Xの献身,西谷,unknown,unknown,福山雅治,柴崎幸,堤真一,剧情,悬疑,犯罪,日本,日语,unknown,unknown,2008,盛夏的方程式,如月疑云,记忆碎片,看不见的客人,神探伽利略XX 内海薰最后的案...,控方证人,金色梦乡,禁闭岛,致命魔术,非常嫌疑犯
60,刺杀肯尼迪 JFK,奥利佛·斯,unknown,unknown,凯文·科斯特纳,茜茜·斯派塞克,汤米·李·琼斯,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1991,芝加哥七君子审判,华盛顿邮报,非常嫌疑犯,追随,唐人街,西北偏北,控方证人,间谍之桥,洛城机密,慕尼黑
61,焦土之城 Incendies,丹尼斯·维伦纽,unknown,unknown,卢巴纳·阿兹巴尔,梅丽莎·德索蒙斯-波林,马克西姆·高德特,剧情,悬疑,战争,加拿大,英语,unknown,unknown,2010,1917,全金属外壳,光荣之路,波斯语课,从海底出击,西线无战事,黑皮书,暴雨将至,地下,无主之地
62,最佳出价 La migliore offerta,朱塞佩·托纳多,unknown,unknown,杰弗里·拉什,吉姆·斯特吉斯,西尔维娅·侯克斯,剧情,爱情,悬疑,意大利,意大利语,unknown,unknown,2013,看不见的客人,非常嫌疑犯,利刃出鞘,大卫·戈尔的一生,控方证人,记忆碎片,追随,消失的爱人,致命魔术,网络谜踪
63,暗花,游达,unknown,unknown,刘青云,梁朝伟,邵美琪,剧情,动作,悬疑,中国香港,国语,unknown,unknown,1998,黑社会,枪火,放·逐,黑金,一个字头的诞生,跛豪,机动部队,真心英雄,神探,喋血街头
64,换子疑云 Changeling,克林特·伊斯特伍,unknown,unknown,安吉丽娜·朱莉,盖特林·格里菲斯,米歇尔·冈,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2008,记忆碎片,非常嫌疑犯,大卫·戈尔的一生,一级恐惧,追随,穆赫兰道,禁闭岛,龙纹身的女孩,洛城机密,致命魔术
65,杀死一只知更鸟 To Kill a Mockingbird,罗伯特·马利,unknown,unknown,格利高里·派克,约翰·梅根纳,弗兰克·奥弗顿,剧情,悬疑,犯罪,美国,英语,unknown,unknown,1962,西北偏北,电话谋杀案,控方证人,双重赔偿,唐人街,后窗,尼罗河上的惨案,东方快车谋杀案,爱德华大夫,M就是凶手
66,魔鬼代言人 The Devil's Advocate,泰勒·海克福,unknown,unknown,基努·里维斯,阿尔·帕西诺,查理兹·塞隆,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1997,闪灵,小岛惊魂,禁闭岛,记忆碎片,一级恐惧,惊魂记,致命ID,第六感,沉默的羔羊,康斯坦丁
67,烈日灼心,曹保,unknown,unknown,邓超,段奕宏,郭涛,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2015,误杀,追凶者也,看不见的客人,猫鼠游戏,全民目击,杀人回忆,解救吾先生,无双,催眠大师,心迷宫
68,狗镇 Dogville,拉斯·冯·提,unknown,unknown,妮可·基德曼,哈里特·安德森,劳伦·白考尔,剧情,悬疑,惊悚,丹麦,丹麦语,unknown,unknown,2003,穆赫兰道,记忆碎片,追随,控方证人,后窗,禁闭岛,非常嫌疑犯,致命魔术,惊魂记,大卫·戈尔的一生
