,title,director0,director1,director2,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,lang1,lang2,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
83,小岛惊魂 The Others,亚历杭德罗·阿梅纳瓦,unknown,unknown,妮可·基德曼,菲奥纽拉·弗拉纳根,克里斯托弗·埃克莱斯顿,剧情,悬疑,恐怖,美国,英语,unknown,unknown,2001,万能钥匙,闪灵,死寂,恐怖游轮,招魂,孤儿怨,寂静岭,潜伏,幻影凶间,死神来了
84,飞向太空 Солярис,安德烈·塔可夫斯,unknown,unknown,纳塔莉亚·邦达尔丘克,多纳塔斯•奥威戴斯,尤里·贾维特,剧情,科幻,悬疑,苏联,俄语,unknown,unknown,1972,潜行者,大都会,阿尔法城,2001太空漫游,错位,直到世界尽头,银翼杀手,银色星球,超时空接触,堤
85,放大 Blow-Up,米开朗基罗·安东尼奥,unknown,unknown,瓦妮莎·雷德格雷夫,莎拉·米尔斯,戴维·海明斯,剧情,悬疑,惊悚,英国,英语,unknown,unknown,1966,鲸鱼马戏团,撒旦探戈,第三人,后窗,西北偏北,迷魂记,奇遇,唐人街,审判,乡村牧师日记
86,"我，机器人 I, Robot",亚历克斯·普罗亚,unknown,unknown,威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克,动作,科幻,悬疑,美国,英语,unknown,unknown,2004,我是传奇,黑客帝国2：重装上阵,终结者,变形金刚,第五元素,独立日,第九区,黑衣人,少数派报告,侏罗纪公园
87,西北偏北 North by Northwest,阿尔弗雷德·希区柯,unknown,unknown,加里·格兰特,爱娃·玛丽·森特,詹姆斯·梅森,悬疑,惊悚,冒险,美国,英语,unknown,unknown,1959,爱德华大夫,后窗,电话谋杀案,贵妇失踪记,迷魂记,三十九级台阶,深闺疑云,夺魂索,火车怪客,擒凶记
88,母亲 마더,奉俊,unknown,unknown,金惠子,元斌,晋久,剧情,悬疑,惊悚,韩国,韩语,unknown,unknown,2009,杀人回忆,追击者,蒙太奇,那家伙的声音,特工,神探,黄海,恐怖直播,燃烧,追随
89,我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,巴伦·博·欧达,unknown,unknown,汤姆·希林,埃利亚斯·穆巴里克,沃坦·维尔克·默林,悬疑,惊悚,犯罪,德国,德语,unknown,unknown,2014,看不见的客人,非常嫌疑犯,记忆碎片,利刃出鞘,一级恐惧,禁闭岛,网络谜踪,致命ID,控方证人,神探
90,十二猴子 Twelve Monkeys,特瑞·吉列,unknown,unknown,布鲁斯·威利斯,玛德琳·斯托,布拉德·皮特,科幻,悬疑,惊悚,美国,英语,unknown,unknown,1995,这个男人来自地球,异次元骇客,超时空接触,K星异客,月球,源代码,第九区,2001太空漫游,少数派报告,黑客帝国
91,唐人街 Chinatown,罗曼·波兰斯,unknown,unknown,杰克·尼科尔森,费·唐纳薇,约翰·休斯顿,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1974,双重赔偿,第三人,西北偏北,M就是凶手,放大,电话谋杀案,后窗,马耳他之鹰,迷魂记,洛城机密
92,蝴蝶梦 Rebecca,阿尔弗雷德·希区柯,unknown,unknown,劳伦斯·奥利弗,琼·芳登,乔治·桑德斯,剧情,爱情,悬疑,美国,英语,unknown,unknown,1940,爱德华大夫,深闺疑云,贵妇失踪记,迷魂记,美人计,西北偏北,后窗,三十九级台阶,电话谋杀案,夺魂索
93,热血警探 Hot Fuzz,埃德加·赖,unknown,unknown,西蒙·佩吉,尼克·弗罗斯特,马丁·弗瑞曼,喜剧,悬疑,犯罪,英国,英语,unknown,unknown,2007,僵尸肖恩,世界尽头,偷拐抢骗,宿醉,杀手没有假期,微不足道,葬礼上的死亡,两杆大烟枪,疯狂的石头,秘密特工
94,金色梦乡 ゴールデンスランバー,中村义,unknown,unknown,堺雅人,竹内结子,吉冈秀隆,剧情,悬疑,unknown,日本,日语,unknown,unknown,2010,如月疑云,嫌疑人X的献身,重力小丑,乌鸦的拇指,染血将军的凯旋,白雪公主杀人事件,控方证人,看不见的客人,追随,利刃出鞘
95,利刃出鞘 Knives Out,莱恩·约翰,unknown,unknown,丹尼尔·克雷格,安娜·德·阿玛斯,克里斯·埃文斯,剧情,喜剧,悬疑,美国,英语,unknown,unknown,2019,看不见的客人,误杀,网络谜踪,控方证人,记忆碎片,禁闭岛,致命魔术,调音师,悬崖之上,海市蜃楼
96,云图 Cloud Atlas,汤姆·提克,unknown,unknown,汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特,剧情,科幻,悬疑,德国,德语,unknown,unknown,2012,这个男人来自地球,黑客帝国,星际迷航2：暗黑无界,源代码,2001太空漫游,盗梦空间,X战警：逆转未来,阿凡达,第九区,降临
97,双重赔偿 Double Indemnity,比利·怀尔,unknown,unknown,弗莱德·麦克莫瑞,芭芭拉·斯坦威克,爱德华·罗宾逊,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1944,第三人,唐人街,电话谋杀案,M就是凶手,西北偏北,马耳他之鹰,日落大道,火车怪客,历劫佳人,后窗
98,未知死亡 Ghajini,A.R.目虏古多,unknown,unknown,阿米尔·汗,缇努·阿南德,阿辛,剧情,动作,爱情,印度,印地语,unknown,unknown,2008,为爱毁灭,罗马假日,未知死亡,幻影车神：魔盗激情,印度往事,谍影重重3,恋恋笔记本,泰坦尼克号,飓风营救,记忆碎片
99,爱德华大夫 Spellbound,阿尔弗雷德·希区柯,unknown,unknown,英格丽·褒曼,格利高里·派克,迈克尔·契诃夫,爱情,悬疑,黑色电影,美国,英语,unknown,unknown,1945,贵妇失踪记,深闺疑云,三十九级台阶,西北偏北,美人计,蝴蝶梦,擒凶记,电话谋杀案,火车怪客,夺魂索
100,龙纹身的女孩 The Girl with the Dragon Tattoo,大卫·芬,unknown,unknown,丹尼尔·克雷格,鲁妮·玛拉,克里斯托弗·普卢默,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2011,锅匠，裁缝，士兵，间谍,记忆碎片,十二宫,非常嫌疑犯,穆赫兰道,七宗罪,追随,一级恐惧,禁闭岛,大卫·戈尔的一生
101,黑暗面 La cara oculta,安德烈斯·拜,unknown,unknown,基姆·古铁雷斯,克拉拉·拉戈,玛蒂娜·加西亚,剧情,悬疑,惊悚,哥伦比亚,西班牙语,unknown,unknown,2011,万能钥匙,恐怖游轮,小岛惊魂,禁闭岛,看不见的客人,女尸谜案,致命ID,记忆碎片,海市蜃楼,逃出绝命镇
102,谜一样的双眼 El secreto de sus ojos,胡安·何塞·坎帕内利,unknown,unknown,里卡多·达林,索蕾达·维拉米尔,巴勃罗·拉戈,剧情,爱情,悬疑,阿根廷,西班牙语,unknown,unknown,2009,非常嫌疑犯,追随,大卫·戈尔的一生,洛城机密,记忆碎片,一级恐惧,影子写手,穆赫兰道,龙纹身的女孩,囚徒
103,赛末点 Match Point,伍迪·艾,unknown,unknown,乔纳森·莱斯·梅耶斯,斯嘉丽·约翰逊,马修·古迪,剧情,爱情,悬疑,英国,英语,unknown,unknown,2005,午夜巴塞罗那,曼哈顿,爱在日落黄昏时,安妮·霍尔,偷心,诺丁山,当哈利遇到莎莉,面纱,和莎莫的500天,甜蜜蜜
104,电锯惊魂3 Saw III,达伦·林恩·鲍斯,unknown,unknown,托宾·贝尔,肖妮·史密斯,安古斯·麦克菲登,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2006,电锯惊魂4,死神来了,死寂,寂静岭,招魂,潜伏,闪灵,万能钥匙,咒怨,孤儿怨
105,无双 無雙,庄文,unknown,unknown,周润发,郭富城,张静初,剧情,动作,悬疑,中国大陆,国语,unknown,unknown,2018,看不见的客人,误杀,利刃出鞘,猫鼠游戏,网络谜踪,烈日灼心,调音师,湄公河行动,暴裂无声,杀人回忆
106,阳光下的罪恶 Evil Under the Sun,盖伊·汉弥尔,unknown,unknown,彼得·乌斯蒂诺夫,玛吉·史密斯,科林·布莱克利,悬疑,犯罪,unknown,英国,英语,unknown,unknown,1982,尼罗河上的惨案,东方快车谋杀案,阳光下的罪恶,啤酒谋杀案,ABC谋杀案,电话谋杀案,悬崖山庄奇案,爱德华大夫,控方证人,死亡约会
107,囚徒 Prisoners,丹尼斯·维伦纽,unknown,unknown,休·杰克曼,杰克·吉伦哈尔,维奥拉·戴维斯,剧情,悬疑,犯罪,美国,英语,unknown,unknown,2013,夜行者,非常嫌疑犯,一级恐惧,十二宫,追随,大卫·戈尔的一生,宿敌,龙纹身的女孩,洛城机密,记忆碎片
108,燃烧 버닝,李沧,unknown,unknown,刘亚仁,史蒂文·元,全钟瑞,剧情,悬疑,犯罪,韩国,韩语,unknown,unknown,2018,特工,杀人回忆,看不见的客人,控方证人,利刃出鞘,网络谜踪,禁闭岛,血观音,暴裂无声,心迷宫
109,万能钥匙 The Skeleton Key,伊恩·索夫特,unknown,unknown,凯特·哈德森,吉娜·罗兰兹,约翰·赫特,剧情,悬疑,恐怖,美国,英语,unknown,unknown,2005,小岛惊魂,恐怖游轮,死寂,孤儿怨,闪灵,寂静岭,招魂,死神来了,致命ID,潜伏
110,招魂 The Conjuring,温子,unknown,unknown,维拉·法米加,帕特里克·威尔森,莉莉·泰勒,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2013,招魂2,死寂,潜伏,闪灵,寂静岭,死神来了,鬼影,孤儿怨,小岛惊魂,咒怨
111,12怒汉：大审判 12,尼基塔·米哈尔科,unknown,unknown,谢尔盖·马科韦茨基,尼基塔·米哈尔科夫,谢尔盖·加尔马什,剧情,悬疑,unknown,俄罗斯,俄语,unknown,unknown,2007,非常嫌疑犯,记忆碎片,追随,穆赫兰道,大卫·戈尔的一生,禁闭岛,谜一样的双眼,一级恐惧,七宗罪,洛城机密
112,前目的地 Predestination,迈克尔·斯派,unknown,unknown,伊桑·霍克,莎拉·斯努克,诺亚·泰勒,科幻,悬疑,unknown,澳大利亚,英语,unknown,unknown,2014,十二猴子,这个男人来自地球,异次元骇客,彗星来的那一夜,源代码,机械姬,明日边缘,致命魔术,月球,蝴蝶效应
113,不良教育 La mala educación,佩德罗·阿莫多,unknown,unknown,盖尔·加西亚·贝纳尔,费雷·马丁内兹,丹尼尔·希梅内斯·卡乔,剧情,悬疑,惊悚,西班牙,西班牙语,unknown,unknown,2004,欲望法则,时光驻留,每分钟120击,迷情站台,雾港水手,痛苦与荣耀,莫里斯,我自己的爱达荷,烈焰焚币,天鹅绒金矿
114,大开眼戒 Eyes Wide Shut,斯坦利·库布里,unknown,unknown,汤姆·克鲁斯,妮可·基德曼,麦迪逊·埃金顿,剧情,悬疑,惊悚,英国,英语,unknown,unknown,1999,本能,白日美人,不羁夜,女性瘾者：第一部,苦月亮,洛丽塔,戏梦巴黎,性、谎言和录像带,放大,穆赫兰道
115,东方快车谋杀案 Poirot: Murder on the Orient Express,菲利普·马,unknown,unknown,大卫·苏切,艾琳·阿特金斯,杰西卡·查斯坦,剧情,悬疑,犯罪,英国,英语,unknown,unknown,2010,尼罗河上的惨案,阳光下的罪恶,ABC谋杀案,啤酒谋杀案,东方快车谋杀案,怪钟疑案,三幕悲剧,万圣节前夜的谋杀案,悬崖山庄奇案,帷幕：波洛的最后一案
116,群鸟 The Birds,阿尔弗雷德·希区柯,unknown,unknown,罗德·泰勒,杰西卡·坦迪,苏珊娜·普莱舍特,悬疑,惊悚,灾难,美国,英语,unknown,unknown,1963,迷魂记,后窗,爱德华大夫,惊魂记,深闺疑云,贵妇失踪记,三十九级台阶,夺魂索,蝴蝶梦,火车怪客
117,漫长的婚约 Un long dimanche de fiançailles,让-皮埃尔·热,unknown,unknown,奥黛丽·塔图,加斯帕德·尤利尔,多米尼克·皮侬,剧情,爱情,悬疑,法国,法语,unknown,unknown,2004,冷山,芳芳,浓情巧克力,只要在一起,两小无猜,面纱,对她说,走出非洲,午夜巴塞罗那,巴黎，我爱你
118,回归 Volver,佩德罗·阿莫多,unknown,unknown,佩内洛普·克鲁兹,卡门·毛拉,洛拉·杜埃尼亚斯,剧情,喜剧,悬疑,西班牙,西班牙语,unknown,unknown,2006,放大,八美图,唐人街,谜一样的双眼,穆赫兰道,后窗,泳池情杀案,不道德的审判,迷魂记,隐藏摄像机
119,真相至上 Nothing But the Truth,罗德·拉,unknown,unknown,凯特·贝金赛尔,马特·狄龙,维拉·法米加,剧情,悬疑,unknown,美国,英语,unknown,unknown,2008,影子写手,换子疑云,大卫·戈尔的一生,非常嫌疑犯,一级恐惧,谜一样的双眼,斯隆女士,追随,囚徒,失踪宝贝
120,第六感生死缘 Meet Joe Black,马丁·布莱斯,unknown,unknown,布拉德·皮特,安东尼·霍普金斯,克莱尔·弗兰妮,剧情,爱情,悬疑,美国,英语,unknown,unknown,1998,天使之城,人鬼情未了,诺丁山,西雅图未眠夜,云中漫步,恋恋笔记本,燃情岁月,罗马假日,爱在日落黄昏时,穿越时空爱上你
121,405谋杀案,沈耀,unknown,unknown,仲星火,徐敏,严翔,悬疑,惊悚,unknown,中国大陆,国语,unknown,unknown,1980,电话谋杀案,戴手铐的旅客,黑三角,尼罗河上的惨案,阳光下的罪恶,林中迷案,第三人,保密局的枪声,西北偏北,东方快车谋杀案
122,行骗天下JP：浪漫篇 コンフィデンスマンJP,田中,unknown,unknown,长泽雅美,东出昌大,小日向文世,喜剧,悬疑,unknown,日本,日语,unknown,unknown,2019,行骗天下JP：运势篇,我是大哥大 电影版,魔幻时刻,愚人节,盗钥匙的方法,摄影机不要停！,银魂2,极限职业,胜者即是正义 2014SP,帝一之国
123,心慌方 Cube,文森佐·纳塔,unknown,unknown,妮可·德波儿,妮基·瓜达尼,大卫·休莱特,科幻,悬疑,惊悚,加拿大,英语,unknown,unknown,1997,心慌方·零,万能钥匙,恐怖游轮,寂静岭,小岛惊魂,幻影凶间,死神来了,闪灵,死寂,致命ID
124,夺魂索 Rope,阿尔弗雷德·希区柯,unknown,unknown,约翰·道尔,法利·格兰杰,詹姆斯·斯图尔特,悬疑,惊悚,犯罪,美国,英语,unknown,unknown,1948,火车怪客,电话谋杀案,贵妇失踪记,爱德华大夫,西北偏北,擒凶记,三十九级台阶,深闺疑云,辣手摧花,后窗
125,如月疑云 キサラギ,佐藤祐,unknown,unknown,小栗旬,中山裕介,小出惠介,喜剧,悬疑,unknown,日本,日语,unknown,unknown,2007,金色梦乡,嫌疑人X的献身,乌鸦的拇指,白雪公主杀人事件,诈欺游戏 电影版,重力小丑,记忆碎片,控方证人,非常嫌疑犯,罪恶之家
126,招魂2 The Conjuring 2,温子,unknown,unknown,帕特里克·威尔森,维拉·法米加,麦迪逊·沃尔夫,剧情,悬疑,恐怖,加拿大,英语,unknown,unknown,2016,招魂,潜伏2,死寂,安娜贝尔2：诞生,寂静岭,闪灵,无名女尸,鬼影,咒怨,遗传厄运
127,祈祷落幕时 祈りの幕が下りる時,福泽克,unknown,unknown,阿部宽,松岛菜菜子,沟端淳平,剧情,悬疑,unknown,日本,日语,unknown,unknown,2018,网络谜踪,利刃出鞘,看不见的客人,麒麟之翼 新参者剧场版,嫌疑人X的献身,沉睡的森林,去年冬天与你分手,海市蜃楼,特工,误杀
128,怪形 The Thing,约翰·卡朋,unknown,unknown,库尔特·拉塞尔,威尔福德·布利姆雷,TK·卡特,科幻,悬疑,恐怖,美国,英语,unknown,unknown,1982,战栗黑洞,怪形前传,异形,驱魔人,罗斯玛丽的婴儿,变蝇人,闪灵,猛鬼街,极度深寒,寂静岭
129,本能 Basic Instinct,保罗·范霍,unknown,unknown,迈克尔·道格拉斯,莎朗·斯通,乔治·杜兹达扎,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1992,大开眼戒,原罪,穆赫兰道,记忆碎片,禁闭岛,非常嫌疑犯,七宗罪,沉默的羔羊,白日美人,惊魂记
130,活埋 Buried,罗德里戈·科尔特,unknown,unknown,瑞安·雷诺兹,何塞·路易斯·加西亚·佩雷斯,罗伯特·帕特森,剧情,悬疑,惊悚,西班牙,西班牙语,unknown,unknown,2010,万能钥匙,恐怖游轮,小岛惊魂,幻影凶间,闪灵,寂静岭,禁闭岛,死神来了,致命ID,记忆碎片
131,尼罗河上的惨案 Poirot: Death on the Nile,安迪·威尔,unknown,unknown,大卫·苏切,詹姆斯·福克斯,爱玛·格里菲斯·马琳,剧情,悬疑,犯罪,英国,英语,unknown,unknown,2004,阳光下的罪恶,啤酒谋杀案,ABC谋杀案,东方快车谋杀案,尼罗河上的惨案,悬崖山庄奇案,H庄园的一次午餐,葬礼之后,高尔夫球场的疑云,三幕悲剧
132,人猿星球 Planet of the Apes,富兰克林·沙夫,unknown,unknown,查尔顿·赫斯顿,罗迪·麦克道尔,金·亨特,科幻,悬疑,冒险,美国,英语,unknown,unknown,1968,逃离猩球,猩球征服,失陷猩球,决战猩球,超时空接触,大都会,十二猴子,这个男人来自地球,回到未来,深渊
133,全民目击,非,unknown,unknown,孙红雷,余男,郭富城,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2013,催眠大师,误杀,看不见的客人,记忆大师,烈日灼心,十二公民,追凶者也,无双,唐人街探案,杀人回忆
134,惊天魔盗团 Now You See Me,路易斯·莱特里,unknown,unknown,杰西·艾森伯格,艾拉·菲舍尔,伍迪·哈里森,剧情,悬疑,犯罪,美国,英语,unknown,unknown,2013,惊天魔盗团2,猫鼠游戏,催眠大师,看不见的客人,金蝉脱壳,致命魔术,利刃出鞘,七宗罪,速度与激情6,禁闭岛
135,杀生,管,unknown,unknown,黄渤,任达华,余男,剧情,悬疑,unknown,中国大陆,国语,unknown,unknown,2012,催眠大师,疯狂的赛车,斗牛,禁闭岛,十二公民,厨子戏子痞子,全民目击,看不见的客人,记忆大师,追凶者也
136,锅匠，裁缝，士兵，间谍 Tinker Tailor Soldier Spy,托马斯·阿尔弗莱德,unknown,unknown,加里·奥德曼,科林·费尔斯,汤姆·哈迪,剧情,悬疑,惊悚,英国,英语,unknown,unknown,2011,影子写手,龙纹身的女孩,大侦探福尔摩斯2：诡影游戏,记忆碎片,穆赫兰道,非常嫌疑犯,致命魔术,追随,禁闭岛,十二宫
137,逃出绝命镇 Get Out,乔丹·皮,unknown,unknown,丹尼尔·卡卢亚,艾莉森·威廉姆斯,凯瑟琳·基纳,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2017,万能钥匙,招魂,闪灵,恐怖游轮,死寂,小岛惊魂,潜伏,孤儿怨,死神来了,解除好友2：暗网
138,电锯惊魂6 Saw VI,凯文·格劳,unknown,unknown,托宾·贝尔,科斯塔斯·曼迪勒,马克·罗斯顿,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2009,电锯惊魂5,死神来了2,死寂,寂静岭,潜伏,招魂,万能钥匙,恐怖游轮,孤儿怨,幻影凶间
139,平原上的夏洛克,徐,unknown,unknown,徐朝英,张占义,宿树合,剧情,喜剧,悬疑,中国大陆,国语,unknown,unknown,2019,功夫,甲方乙方,疯狂的石头,有话好好说,摄影机不要停！,落叶归根,同学麦娜丝,爱情神话,追凶者也,无名之辈
140,死寂 Dead Silence,温子,unknown,unknown,唐尼·沃尔伯格,安贝·瓦莱塔,瑞恩·柯万腾,悬疑,恐怖,unknown,美国,英语,unknown,unknown,2007,招魂,潜伏,寂静岭,闪灵,鬼影,死神来了,咒怨,孤儿怨,幻影凶间,万能钥匙
141,白丝带 Das weiße Band – Eine deutsche Kindergeschichte,迈克尔·哈内,unknown,unknown,克里斯蒂安·富里道尔,恩斯特·雅各比,莉奥妮·贝尼希,剧情,悬疑,unknown,德国,德语,unknown,unknown,2009,隐藏摄像机,放大,鲸鱼马戏团,撒旦探戈,第三人,伊万的童年,再见，孩子们,唐人街,大幻影,影子部队
142,寻枪,陆,unknown,unknown,姜文,宁静,伍宇娟,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2002,神探,记忆碎片,杀人回忆,白日焰火,禁闭岛,追随,非常嫌疑犯,追凶者也,致命魔术,心迷宫
143,"名侦探柯南：章节ONE 变小的名侦探 名探偵コナン エピソード ""ONE"" 小さくなった名探偵",山本泰一,unknown,unknown,山口胜平,高山南,山崎和佳奈,动画,悬疑,unknown,日本,日语,unknown,unknown,2016,,,,,,,,,,
144,亡命天涯 The Fugitive,安德鲁·戴维,unknown,unknown,哈里森·福特,汤米·李·琼斯,雪拉·渥德,剧情,动作,悬疑,美国,英语,unknown,unknown,1993,空军一号,生死时速,虎胆龙威,断箭,勇闯夺命岛,空中监狱,国家公敌,真实的谎言,蒸发密令,浪人
145,神秘河 Mystic River,克林特·伊斯特伍,unknown,unknown,西恩·潘,蒂姆·罗宾斯,凯文·贝肯,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2003,非常嫌疑犯,洛城机密,心理游戏,一级恐惧,换子疑云,大卫·戈尔的一生,谜一样的双眼,唐人街,追随,囚徒
146,唐人街探案,陈思,unknown,unknown,王宝强,刘昊然,佟丽娅,喜剧,动作,悬疑,中国大陆,国语,unknown,unknown,2015,唐人街探案2,羞羞的铁拳,夏洛特烦恼,人再囧途之泰囧,九品芝麻官,唐伯虎点秋香,人在囧途,功夫,催眠大师,西虹市首富
147,热泪伤痕 Dolores Claiborne,泰勒·海克福,unknown,unknown,凯西·贝茨,克里斯托弗·普卢默,大卫·斯特雷泽恩,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1995,危情十日,无声言证,电话谋杀案,一级恐惧,不道德的审判,追随,大卫·戈尔的一生,谜一样的双眼,惊魂记,神秘河
148,电锯惊魂4 Saw IV,达伦·林恩·鲍斯,unknown,unknown,托宾·贝尔,科斯塔斯·曼迪勒,斯科特·帕特森,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2007,电锯惊魂5,死神来了2,寂静岭,死寂,咒怨,潜伏,招魂,幻影凶间,万能钥匙,闪灵
149,战略特勤组 Unthinkable,格雷格·乔,unknown,unknown,麦克·辛,塞缪尔·杰克逊,凯瑞-安·莫斯,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2010,王牌对王牌,非常嫌疑犯,危情三日,局内人,狙击电话亭,囚徒,守法公民,洛城机密,一级恐惧,大卫·戈尔的一生
150,电锯惊魂5 Saw V,大卫·海克,unknown,unknown,托宾·贝尔,科斯塔斯·曼迪勒,斯科特·帕特森,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2008,电锯惊魂4,死神来了2,寂静岭,死寂,潜伏,咒怨,招魂,幻影凶间,万能钥匙,恐怖蜡像馆
151,移魂都市 Dark City,亚历克斯·普罗亚,unknown,unknown,卢夫斯·塞维尔,威廉·赫特,基弗·萨瑟兰,科幻,悬疑,惊悚,澳大利亚,英语,unknown,unknown,1998,异次元骇客,超时空接触,十二猴子,K星异客,深渊,这个男人来自地球,月球,少数派报告,黑洞频率,火星任务
152,电锯惊魂7 Saw 3D: The Final Chapter,凯文·格劳,unknown,unknown,托宾·贝尔,科斯塔斯·曼迪勒,贝茜·拉塞尔,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2010,电锯惊魂5,死神来了2,寂静岭,死寂,潜伏,招魂2,咒怨,幻影凶间,万能钥匙,恐怖游轮
153,大侦探福尔摩斯 Sherlock Holmes,盖·里,unknown,unknown,小罗伯特·唐尼,裘德·洛,瑞秋·麦克亚当斯,动作,悬疑,犯罪,美国,英语,unknown,unknown,2009,大侦探福尔摩斯2：诡影游戏,达·芬奇密码,记忆碎片,致命魔术,利刃出鞘,禁闭岛,惊天魔盗团,七宗罪,盗梦空间,风声
154,陆小凤传奇之陆小凤前传,邓衍,unknown,unknown,张智霖,张智尧,杨丽菁,剧情,动作,爱情,中国大陆,国语,unknown,unknown,2007,陆小凤传奇之铁鞋传奇,镖行天下之神武大炮,杨门女将之战地情缘,笑傲江湖2：东方不败,倚天屠龙记之魔教教主,新天龙八部之天山童姥,黄飞鸿,太极张三丰,六指琴魔,少林寺
155,寂静岭 Silent Hill,克里斯多夫·甘,unknown,unknown,拉达·米切尔,祖蒂·弗兰,肖恩·宾,悬疑,恐怖,unknown,加拿大,英语,unknown,unknown,2006,死寂,潜伏,咒怨,死神来了,幻影凶间,招魂,闪灵,鬼影,午夜凶铃,万能钥匙
156,独行杀手 Le samouraï,让-皮埃尔·梅尔维,unknown,unknown,阿兰·德龙,弗朗索瓦·佩里埃,娜塔莉·德龙,剧情,悬疑,惊悚,法国,法语,unknown,unknown,1967,红圈,扒手,怒海沉尸,大黎明,男人的争斗,杀手,法外之徒,通往绞刑架的电梯,眼线,钱
157,古畑任三郎完结篇 重生之死 古畑任三郎ファイナル 今、甦る死,星,unknown,unknown,田村正和,西村雅彦,石井正则,悬疑,犯罪,unknown,日本,日语,unknown,unknown,2006,古畑任三郎 VS SMAP,疑惑,圈套 特别篇,恶魔吹着笛子来,八墓村,犬神家族,女王蜂,伽利略特别篇,十万分之一的偶然,金田一少年事件簿之上海人鱼传说
158,时间旅行者的妻子 The Time Traveler's Wife,罗伯特·斯文,unknown,unknown,瑞秋·麦克亚当斯,艾瑞克·巴纳,阿莱克斯·费瑞斯,剧情,爱情,悬疑,美国,英语,unknown,unknown,2009,附注：我爱你,恋恋笔记本,触不到的恋人,天使之城,爱再来一次,人鬼情未了,他其实没那么喜欢你,诺丁山,和莎莫的500天,两小无猜
159,双瞳 雙瞳,陈国,unknown,unknown,梁家辉,刘若英,戴立忍,剧情,悬疑,惊悚,中国香港,国语,unknown,unknown,2002,僵尸,诡丝,三更,鬼影,潜伏,死寂,见鬼,闪灵,寂静岭,招魂
160,大侦探福尔摩斯2：诡影游戏 Sherlock Holmes: A Game of Shadows,盖·里,unknown,unknown,小罗伯特·唐尼,裘德·洛,瑞秋·麦克亚当斯,动作,悬疑,犯罪,美国,英语,unknown,unknown,2011,大侦探福尔摩斯,达·芬奇密码,致命魔术,记忆碎片,利刃出鞘,禁闭岛,神探夏洛克：可恶的新娘,龙纹身的女孩,惊天魔盗团,七宗罪
161,去年在马里昂巴德 L'année dernière à Marienbad,阿伦·雷,unknown,unknown,德菲因·塞里格,乔治·阿尔贝塔齐,萨夏·皮托埃夫,剧情,爱情,悬疑,法国,法语,unknown,unknown,1961,祖与占,广岛之恋,卡比利亚之夜,蚀,日出,夜,大路,亚特兰大号,奇遇,精疲力尽
162,猎凶风河谷 Wind River,泰勒·谢里,unknown,unknown,杰瑞米·雷纳,伊丽莎白·奥尔森,凯尔西·周,剧情,悬疑,犯罪,英国,英语,unknown,unknown,2017,赴汤蹈火,边境杀手,囚徒,特工,夜行者,套装,恐袭波士顿,老无所依,利刃出鞘,目击者之追凶
163,不朽的园丁 The Constant Gardener,费尔南多·梅里尔,unknown,unknown,拉尔夫·费因斯,蕾切尔·薇兹,哈勃·孔黛,剧情,悬疑,惊悚,英国,英语,unknown,unknown,2005,锅匠，裁缝，士兵，间谍,走出非洲,高斯福庄园,影子写手,英国病人,爱到尽头,神秘河,谜一样的双眼,面纱,奥斯卡与露辛达
164,妖夜慌踪 Lost Highway,大卫·林,unknown,unknown,比尔·普尔曼,帕特丽夏·阿奎特,巴萨扎·盖提,悬疑,惊悚,unknown,法国,法语,unknown,unknown,1997,内陆帝国,双峰：与火同行,穆赫兰道,放大,怪房客,罗斯玛丽的婴儿,迷魂记,惊魂记,闪灵,冷血惊魂
165,国家宝藏 National Treasure,乔·德特杜,unknown,unknown,尼古拉斯·凯奇,黛安·克鲁格,贾斯汀·巴萨,动作,悬疑,冒险,美国,英语,unknown,unknown,2004,国家宝藏：夺宝秘笈,勇闯夺命岛,碟中谍3,极速60秒,空中监狱,夺宝奇兵,古墓丽影,空军一号,虎胆龙威4,生死时速
166,悬崖之上,张艺,unknown,unknown,张译,于和伟,秦海璐,剧情,动作,悬疑,中国大陆,国语,unknown,unknown,2021,利刃出鞘,误杀,看不见的客人,扬名立万,禁闭岛,风声,控方证人,致命魔术,网络谜踪,无双
