,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
21,放牛班的春天 Les choristes,克里斯托夫·巴哈,让-巴蒂斯特·莫尼耶,热拉尔·朱尼奥,弗朗索瓦·贝莱昂,剧情,音乐,unknown,法国,法语,2004,海上钢琴师,音乐之声,爆裂鼓手,肖申克的救赎,阿甘正传,波西米亚狂想曲,当幸福来敲门,曾经,再次出发之纽约遇见你,三傻大闹宝莱坞
22,背靠背，脸对脸,黄建,牛振华,雷恪生,李强,剧情,unknown,unknown,中国大陆,国语,1994,黑炮事件,红灯停，绿灯行,站直啰，别趴下,香火,有话好好说,疯狂的石头,大佛普拉斯,顽主,摩登时代,落叶归根
23,鬼子来了,姜,姜文,香川照之,袁丁,剧情,喜剧,unknown,中国大陆,国语,2000,拯救大兵瑞恩,无耻混蛋,辛德勒的名单,让子弹飞,疯狂的石头,钢琴家,穿条纹睡衣的男孩,两杆大烟枪,1917,黑鹰坠落
24,触不可及 Intouchables,奥利维埃·纳卡,弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,剧情,喜剧,unknown,法国,法语,2011,唐伯虎点秋香,九品芝麻官,功夫,三傻大闹宝莱坞,大话西游之月光宝盒,喜剧之王,疯狂的石头,神偷奶爸,让子弹飞,幸福终点站
25,教父 The Godfather,弗朗西斯·福特·科波,马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,剧情,犯罪,unknown,美国,英语,1972,教父2,美国往事,猫鼠游戏,无间道,低俗小说,英雄本色,上帝之城,黑社会,枪火,两杆大烟枪
26,指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克,伊利亚·伍德,西恩·奥斯汀,维果·莫腾森,剧情,动作,奇幻,美国,英语,2003,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,哈利·波特与魔法石,勇敢的心,少年派的奇幻漂流,大鱼,拯救大兵瑞恩,角斗士,阿凡达
27,乱世佳人 Gone with the Wind,维克多·弗莱,费雯·丽,克拉克·盖博,奥利维娅·德哈维兰,剧情,爱情,历史,美国,英语,1939,罗马假日,魂断蓝桥,卡萨布兰卡,傲慢与偏见,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,甜蜜蜜,重庆森林,花样年华
28,素媛 소원,李濬,薛景求,严志媛,李来,剧情,unknown,unknown,韩国,韩语,2013,猫鼠游戏,熔炉,杀人回忆,恐怖直播,湄公河行动,七宗罪,饮食男女,小丑,香水,沉默的羔羊
29,钢琴家 The Pianist,罗曼·波兰斯,艾德里安·布洛迪,托马斯·克莱舒曼,艾米莉娅·福克斯,剧情,音乐,传记,英国,英语,2002,拯救大兵瑞恩,穿条纹睡衣的男孩,辛德勒的名单,1917,兵临城下,血战钢锯岭,敦刻尔克,黑鹰坠落,波斯语课,战争之王
30,海蒂和爷爷 Heidi,阿兰·葛斯彭,阿努克·斯特芬,布鲁诺·冈茨,昆林·艾格匹,剧情,家庭,冒险,德国,德语,2015,饮食男女,步履不停,寻梦环游记,小偷家族,海街日记,何以为家,我是山姆,普罗旺斯的夏天,海边的曼彻斯特,天才少女
31,教父2 The Godfather: Part II,弗朗西斯·福特·科波,阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,剧情,犯罪,unknown,美国,英语,1974,教父3,美国往事,猫鼠游戏,低俗小说,无间道,爱尔兰人,英雄本色,上帝之城,黑社会,枪火
32,三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉,阿米尔·汗,卡琳娜·卡普尔,马达范,剧情,喜剧,爱情,印度,印地语,2009,唐伯虎点秋香,九品芝麻官,射雕英雄传之东成西就,功夫,喜剧之王,大话西游之月光宝盒,疯狂动物城,阿甘正传,肖申克的救赎,神偷奶爸
33,当幸福来敲门 The Pursuit of Happyness,加布里埃莱·穆奇,威尔·史密斯,贾登·史密斯,坦迪·牛顿,剧情,家庭,传记,美国,英语,2006,阿甘正传,肖申克的救赎,摔跤吧！爸爸,三傻大闹宝莱坞,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,饮食男女,叫我第一名
34,饮食男女 飲食男女,李,郎雄,杨贵媚,吴倩莲,剧情,家庭,unknown,中国台湾,国语,1994,推手,喜宴,东京物语,步履不停,雨人,一次别离,小偷家族,海街日记,一一,岁月神偷
35,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,美国,英语,2008,蝙蝠侠：黑暗骑士崛起,黑客帝国,猫鼠游戏,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,盗梦空间,美国队长2,变形金刚
36,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克,伊利亚·伍德,西恩·奥斯汀,多米尼克·莫纳汉,剧情,动作,奇幻,美国,英语,2002,指环王1：护戒使者,霍比特人2：史矛革之战,加勒比海盗,哈利·波特与魔法石,少年派的奇幻漂流,勇敢的心,大鱼,角斗士,奇异博士,阿凡达
37,死亡诗社 Dead Poets Society,彼得·威,罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克,剧情,unknown,unknown,美国,英语,1989,心灵捕手,肖申克的救赎,阿甘正传,当幸福来敲门,国王的演讲,百万美元宝贝,贫民窟的百万富翁,三傻大闹宝莱坞,摔跤吧！爸爸,叫我第一名
38,天堂电影院 Nuovo Cinema Paradiso,朱塞佩·托纳多,菲利普·努瓦雷,萨瓦特利·卡西欧,雅克·贝汉,剧情,爱情,unknown,意大利,意大利语,1988,罗马假日,爱在黎明破晓前,重庆森林,甜蜜蜜,泰坦尼克号,天使爱美丽,花样年华,乱世佳人,剪刀手爱德华,真爱至上
39,摩登时代 Modern Times,查理·卓别,查理·卓别林,宝莲·高黛,亨利·伯格曼,剧情,喜剧,爱情,美国,英语,1936,城市之光,淘金记,九品芝麻官,唐伯虎点秋香,射雕英雄传之东成西就,疯狂的石头,寻子遇仙记,大独裁者,功夫,喜剧之王
40,辩护人 변호인,杨宇,宋康昊,金英爱,吴达洙,剧情,unknown,unknown,韩国,韩语,2013,猫鼠游戏,杀人回忆,熔炉,恐怖直播,追击者,七宗罪,黄海,新世界,素媛,肖申克的救赎
41,窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔,乌尔里希·穆埃,马蒂娜·格德克,塞巴斯蒂安·科赫,剧情,悬疑,unknown,德国,德语,2006,记忆碎片,控方证人,致命魔术,禁闭岛,看不见的客人,穆赫兰道,非常嫌疑犯,追随,十二怒汉,蝴蝶效应
42,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,马克·赫尔,阿萨·巴特菲尔德,维拉·法米加,卡拉·霍根,剧情,战争,unknown,英国,英语,2008,拯救大兵瑞恩,钢琴家,辛德勒的名单,1917,血战钢锯岭,波斯语课,敦刻尔克,美丽人生,卢旺达饭店,黑鹰坠落
43,少年派的奇幻漂流 Life of Pi,李,苏拉·沙玛,伊尔凡·可汗,拉菲·斯波,剧情,奇幻,冒险,美国,英语,2012,加勒比海盗,哈利·波特与魔法石,指环王1：护戒使者,霍比特人1：意外之旅,大鱼,头号玩家,奇异博士,本杰明·巴顿奇事,倩女幽魂,白日梦想家
44,美国往事 Once Upon a Time in America,赛尔乔·莱昂,罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文,剧情,犯罪,unknown,美国,英语,1984,教父2,好家伙,低俗小说,上帝之城,爱尔兰人,枪火,黑社会,英雄本色,无间道,赌城风云
45,小鞋子 بچه های آسمان,马基德·马基,默罕默德·阿米尔·纳吉,法拉赫阿米尔·哈什米安,巴哈丽·西迪奇,剧情,家庭,儿童,伊朗,波斯语,1997,饮食男女,东京物语,当幸福来敲门,雨人,一次别离,步履不停,摔跤吧！爸爸,我是山姆,岁月神偷,海蒂和爷爷
46,怦然心动 Flipped,罗伯·莱,玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,剧情,喜剧,爱情,美国,英语,2010,罗马假日,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,重庆森林,傲慢与偏见,天使爱美丽,爱乐之城,情书,真爱至上
47,飞屋环游记 Up,彼特·道格,爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,剧情,喜剧,动画,美国,英语,2009,天空之城,哈尔的移动城堡,大闹天宫,幽灵公主,怪兽电力公司,神偷奶爸,冰川时代,风之谷,玩具总动员,机器人总动员
48,高山下的花环,谢,吕晓禾,唐国强,何伟,剧情,战争,unknown,中国大陆,国语,1985,大决战之辽沈战役,上甘岭,血战台儿庄,集结号,决战之后,从海底出击,1917,英雄儿女,大捷,黑鹰坠落
49,何以为家 كفرناحوم,娜丁·拉巴,赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔,剧情,unknown,unknown,黎巴嫩,阿拉伯语,2018,饮食男女,82年生的金智英,小偷家族,寻梦环游记,海蒂和爷爷,海边的曼彻斯特,海街日记,阳光普照,我是山姆,摔跤吧！爸爸
50,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯,莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,剧情,传记,犯罪,美国,英语,2002,华尔街之狼,七宗罪,杀人回忆,熔炉,血钻,恐怖直播,小丑,沉默的羔羊,蝙蝠侠：黑暗骑士,教父
51,罗马假日 Roman Holiday,威廉·惠,奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,剧情,喜剧,爱情,美国,英语,1953,泰坦尼克号,魂断蓝桥,爱在黎明破晓前,乱世佳人,恋恋笔记本,重庆森林,甜蜜蜜,天使爱美丽,傲慢与偏见,花样年华
52,闻香识女人 Scent of a Woman,马丁·布莱斯,阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩,剧情,unknown,unknown,美国,英语,1992,罗马假日,爱在黎明破晓前,泰坦尼克号,恋恋笔记本,贫民窟的百万富翁,重庆森林,甜蜜蜜,乱世佳人,傲慢与偏见,天使爱美丽
53,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克,伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,剧情,动作,奇幻,新西兰,英语,2001,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,哈利·波特与魔法石,少年派的奇幻漂流,勇敢的心,大鱼,奇异博士,倩女幽魂,角斗士
54,七武士 七人の侍,黑泽,三船敏郎,志村乔,津岛惠子,剧情,动作,冒险,日本,日语,1954,拯救大兵瑞恩,全金属外壳,影武者,光荣之路,乱,伊万的童年,蜘蛛巢城,黑鹰坠落,现代启示录,钢琴家
55,美丽心灵 A Beautiful Mind,朗·霍华,罗素·克劳,艾德·哈里斯,詹妮弗·康纳利,剧情,传记,unknown,美国,英语,2001,国王的演讲,社交网络,飞行家,罗马假日,贫民窟的百万富翁,达拉斯买家俱乐部,末代皇帝,万物理论,极速风流,爱在黎明破晓前
56,一一,杨德,吴念真,李凯莉,金燕玲,剧情,爱情,家庭,中国台湾,国语,2000,悲情城市,东京物语,花样年华,重庆森林,小武,步履不停,苏州河,独立时代,饮食男女,推手
57,拯救大兵瑞恩 Saving Private Ryan,史蒂文·斯皮尔伯,汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯,剧情,战争,unknown,美国,英语,1998,黑鹰坠落,兵临城下,辛德勒的名单,血战钢锯岭,钢琴家,1917,穿条纹睡衣的男孩,战争之王,敦刻尔克,集结号
58,音乐之声 The Sound of Music,罗伯特·怀,朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,剧情,爱情,歌舞,美国,英语,1965,罗马假日,海上钢琴师,雨中曲,爱乐之城,魂断蓝桥,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,乱世佳人,傲慢与偏见
59,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里,杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,剧情,喜剧,犯罪,英国,英语,1998,疯狂的石头,低俗小说,偷拐抢骗,让子弹飞,摩登时代,荒蛮故事,射雕英雄传之东成西就,布达佩斯大饭店,九品芝麻官,被解救的姜戈
60,飞越疯人院 One Flew Over the Cuckoo's Nest,米洛斯·福尔,杰克·尼科尔森,丹尼·德维托,克里斯托弗·洛伊德,剧情,unknown,unknown,美国,英语,1975,两杆大烟枪,让子弹飞,低俗小说,疯狂的石头,布达佩斯大饭店,荒蛮故事,大佛普拉斯,无耻混蛋,被解救的姜戈,鬼子来了
61,横空出世,陈国,李雪健,李幼斌,高明,剧情,历史,unknown,中国大陆,国语,1999,我的1919,大明劫,大决战之辽沈战役,茶馆,决战之后,荆轲刺秦王,我和我的祖国,高山下的花环,末代皇帝,绝杀慕尼黑
62,我不是药神,文牧,徐峥,王传君,周一围,剧情,喜剧,unknown,中国大陆,国语,2018,让子弹飞,疯狂的石头,驴得水,无名之辈,布达佩斯大饭店,大佛普拉斯,一出好戏,低俗小说,寄生虫,邪不压正
