,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
19,谍影重重3 The Bourne Ultimatum,保罗·格林格拉,马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,动作,悬疑,惊悚,美国,英语,2007,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
20,枪火 鎗火,杜琪,吴镇宇,任达华,黄秋生,剧情,动作,犯罪,中国香港,国语,1999,黑社会,放·逐,暗花,黑金,机动部队,无间道2,英雄本色,跛豪,美国往事,教父2
21,头号玩家 Ready Player One,史蒂文·斯皮尔伯,泰伊·谢里丹,奥利维亚·库克,本·门德尔森,动作,科幻,冒险,美国,英语,2018,黑客帝国,阿凡达,星际穿越,钢铁侠,火星救援,盗梦空间,复仇者联盟3：无限战争,美国队长3,流浪地球,银翼杀手2049
22,东邪西毒：终极版 東邪西毒終極版,王家,张国荣,林青霞,梁朝伟,剧情,动作,爱情,中国香港,国语,2008,东邪西毒,花样年华,重庆森林,胭脂扣,2046,堕落天使,阿飞正传,甜蜜蜜,金枝玉叶,倩女幽魂2：人间道
23,终结者2：审判日 Terminator 2: Judgment Day,詹姆斯·卡梅,阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆,动作,科幻,unknown,美国,英语,1991,终结者,黑客帝国3：矩阵革命,我，机器人,变形金刚,E.T.外星人,阿凡达,第九区,钢铁侠,我是传奇,侏罗纪公园
24,超能陆战队 Big Hero 6,唐·霍,斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,喜剧,动作,科幻,美国,英语,2014,神偷奶爸,怪兽电力公司,冰川时代,天空之城,大闹天宫,哈尔的移动城堡,疯狂动物城,驯龙高手,唐伯虎点秋香,无敌破坏王
25,新龙门客栈 新龍門客棧,李惠,张曼玉,林青霞,梁家辉,动作,爱情,武侠,中国香港,国语,1992,笑傲江湖2：东方不败,黄飞鸿,卧虎藏龙,太极张三丰,倚天屠龙记之魔教教主,东邪西毒,方世玉,精武英雄,倩女幽魂,英雄
26,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,乔治·米,汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特,动作,科幻,冒险,澳大利亚,英语,2015,黑客帝国3：矩阵革命,终结者2：审判日,头号玩家,明日边缘,谍影重重3,火星救援,杀死比尔,X战警：逆转未来,阿凡达,蝙蝠侠：黑暗骑士崛起
27,黑客帝国2：重装上阵 The Matrix Reloaded,拉娜·沃卓斯,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,动作,科幻,unknown,美国,英语,2003,黑客帝国3：矩阵革命,终结者2：审判日,我，机器人,变形金刚,钢铁侠,阿凡达,第九区,我是传奇,2001太空漫游,回到未来
28,谍影重重2 The Bourne Supremacy,保罗·格林格拉,马特·达蒙,布莱恩·考克斯,琼·艾伦,动作,悬疑,惊悚,美国,英语,2004,谍影重重3,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
29,釜山行 부산행,延尚,孔刘,郑有美,马东锡,动作,惊悚,灾难,韩国,韩语,2016,恐怖游轮,闪灵,招魂,2012,流感,孤儿怨,后天,沉默的羔羊,电锯惊魂,致命ID
30,东邪西毒 東邪西毒,王家,张国荣,林青霞,梁朝伟,剧情,动作,爱情,中国香港,国语,1994,重庆森林,花样年华,东邪西毒：终极版,阿飞正传,新龙门客栈,甜蜜蜜,罗马假日,胭脂扣,倩女幽魂,卧虎藏龙
31,英雄本色,吴宇,周润发,狄龙,张国荣,剧情,动作,犯罪,中国香港,国语,1986,英雄本色2,无间道,纵横四海,枪火,喋血双雄,教父3,暗战,美国往事,谍影重重3,变脸
32,黑鹰坠落 Black Hawk Down,雷德利·斯科,乔什·哈奈特,伊万·麦克格雷格,汤姆·塞兹摩尔,动作,历史,战争,美国,英语,2001,兵临城下,拯救大兵瑞恩,拆弹部队,战争之王,狂怒,风语者,1917,猎杀U-571,集结号,血战钢锯岭
33,蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,鲍勃·佩尔西凯,沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德,动作,科幻,动画,美国,英语,2018,大闹天宫,玩具总动员,天空之城,心灵奇旅,幽灵公主,哈尔的移动城堡,超人总动员,钢铁侠,复仇者联盟3：无限战争,美国队长2
34,暗战 暗戰,杜琪,刘德华,刘青云,蒙嘉慧,剧情,动作,犯罪,中国香港,国语,1999,机动部队,无间道2,门徒,窃听风云,毒战,英雄本色,寒战,喋血双雄,勇闯夺命岛,精武英雄
35,谍影重重 The Bourne Identity,道格·里,马特·达蒙,弗朗卡·波滕特,克里斯·库珀,动作,悬疑,惊悚,美国,英语,2002,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
36,霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,彼得·杰克,马丁·弗瑞曼,伊恩·麦克莱恩,理查德·阿米蒂奇,动作,奇幻,冒险,美国,英语,2014,霍比特人2：史矛革之战,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,神奇动物在哪里,哈利·波特与密室,少年派的奇幻漂流,奇异博士,驯龙高手2,头号玩家,惊天魔盗团
37,复仇者联盟4：终局之战 Avengers: Endgame,安东尼·罗,小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,剧情,动作,科幻,美国,英语,2019,钢铁侠,复仇者联盟3：无限战争,美国队长3,无敌浩克,头号玩家,雷神2：黑暗世界,蚁人,X战警：逆转未来,惊奇队长,阿凡达
38,勇闯夺命岛 The Rock,迈克尔·,肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯,动作,冒险,unknown,美国,英语,1996,空中监狱,变脸,谍影重重3,生死时速,真实的谎言,飓风营救,碟中谍,国家公敌,虎胆龙威,偷天陷阱
39,精武英雄,陈嘉,李连杰,中山忍,钱小豪,剧情,动作,unknown,中国香港,国语,1994,给爸爸的信,黄飞鸿之二：男儿当自强,太极张三丰,中南海保镖,新少林五祖,方世玉,少林寺,倚天屠龙记之魔教教主,我是谁,红番区
40,神探,杜琪,刘青云,安志杰,林家栋,动作,悬疑,惊悚,中国香港,国语,2007,非常嫌疑犯,杀人回忆,记忆碎片,门徒,看不见的客人,追随,一级恐惧,七宗罪,猫鼠游戏,恐怖直播
41,角斗士 Gladiator,雷德利·斯科,罗素·克劳,华金·菲尼克斯,康妮·尼尔森,剧情,动作,冒险,美国,英语,2000,勇敢的心,天国王朝,黑鹰坠落,兵临城下,斯巴达300勇士,与狼共舞,特洛伊,勇闯夺命岛,拯救大兵瑞恩,指环王3：王者无敌
