,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
13,音乐之声 The Sound of Music,罗伯特·怀,朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,剧情,爱情,歌舞,美国,英语,1965,罗马假日,海上钢琴师,雨中曲,爱乐之城,魂断蓝桥,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,乱世佳人,傲慢与偏见
14,芙蓉镇,谢,刘晓庆,姜文,郑在石,剧情,爱情,unknown,中国大陆,国语,1987,牧马人,马路天使,甜蜜蜜,老井,花样年华,重庆森林,红高粱,小城之春,独立时代,恋恋风尘
15,南海十三郎,高志,谢君豪,潘灿良,苏玉华,剧情,爱情,传记,中国香港,国语,1997,公民凯恩,阮玲玉,极速车王,末代皇帝,波西米亚狂想曲,剃头匠,达拉斯买家俱乐部,美丽心灵,跛豪,岁月风云之上海皇帝
16,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇,周星驰,吴孟达,罗家英,喜剧,爱情,奇幻,中国香港,国语,1995,唐伯虎点秋香,九品芝麻官,大话西游之大圣娶亲,射雕英雄传之东成西就,喜剧之王,功夫,国产凌凌漆,食神,鹿鼎记,逃学威龙
17,春光乍泄 春光乍洩,王家,张国荣,梁朝伟,张震,剧情,爱情,同性,中国香港,国语,1997,蓝宇,断背山,重庆森林,花样年华,请以你的名字呼唤我,喜宴,霸王别姬,阿飞正传,谁先爱上他的,甜蜜蜜
18,本杰明·巴顿奇事 The Curious Case of Benjamin Button,大卫·芬,凯特·布兰切特,布拉德·皮特,朱莉娅·奥蒙德,剧情,爱情,奇幻,美国,英语,2008,罗马假日,爱在黎明破晓前,恋恋笔记本,泰坦尼克号,重庆森林,天使爱美丽,倩女幽魂,傲慢与偏见,爱乐之城,真爱至上
19,喜宴 囍宴,李,赵文瑄,郎雄,归亚蕾,剧情,喜剧,爱情,中国台湾,国语,1993,推手,饮食男女,春光乍泄,断背山,蓝宇,谁先爱上他的,燃烧女子的肖像,每分钟120击,请以你的名字呼唤我,莫里斯
20,雨中曲 Singin' in the Rain,斯坦利·多,吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,喜剧,爱情,歌舞,美国,英语,1952,城市之光,罗马假日,音乐之声,魂断蓝桥,爱乐之城,爱在日落黄昏时,摩登时代,天使爱美丽,甜蜜蜜,花样年华
21,生活多美好 It's a Wonderful Life,弗兰克·卡普,詹姆斯·斯图尔特,唐娜·里德,莱昂纳尔·巴里摩尔,剧情,爱情,奇幻,美国,英语,1946,史密斯先生到华盛顿,桃色公寓,热情如火,一夜风流,城市之光,街角的商店,百万美元宝贝,追梦赤子心,卡比利亚之夜,幸福终点站
22,灿烂人生 La meglio gioventù,马可·图利奥·吉奥达,路易吉·洛·卡肖,阿莱西奥·博尼,索尼娅·贝加马斯科,剧情,爱情,家庭,意大利,意大利语,2003,一一,爱在日落黄昏时,蓝白红三部曲之红,甜蜜蜜,邮差,英国病人,刺猬的优雅,廊桥遗梦,天使爱美丽,东京物语
23,阳光灿烂的日子,姜,夏雨,宁静,陶虹,剧情,爱情,unknown,中国大陆,国语,1994,重庆森林,花样年华,一一,甜蜜蜜,阿飞正传,太阳照常升起,爱在黎明破晓前,罗马假日,天使爱美丽,东邪西毒
24,情书 Love Letter,岩井俊,中山美穗,丰川悦司,酒井美纪,剧情,爱情,unknown,日本,日语,1995,罗马假日,重庆森林,爱在黎明破晓前,花样年华,甜蜜蜜,天使爱美丽,恋恋笔记本,泰坦尼克号,傲慢与偏见,爱乐之城
25,甜蜜蜜,陈可,黎明,张曼玉,杨恭如,剧情,爱情,unknown,中国香港,国语,1996,花样年华,重庆森林,罗马假日,爱在黎明破晓前,阿飞正传,天使爱美丽,泰坦尼克号,情书,真爱至上,倩女幽魂
