七武士 七人の侍,乱,,,,,,,
杀人回忆 살인의 추억,,,,,,,,
七武士 七人の侍,乱,,,,,,,
杀人回忆 살인의 추억,,,,,,,,
攻壳机动队 攻殻機動隊,阿基拉,,,,,,,
釜山行 부산행,流感,,,,,,,
黄海 황해,我要复仇,杀人回忆,局内人,走到尽头,,,,
乱,七武士,,,,,,,
切腹,大菩萨岭,用心棒,侍,,,,,
速度与激情7 Furious 7,,,,,,,,
老男孩 올드보이,黄海,我要复仇,杀人回忆,,,,,
用心棒,大菩萨岭,姿三四郎,,,,,,
阿基拉 Akira,攻壳机动队,,,,,,,
孤胆特工 아저씨,夺宝联盟,柏林,嫌疑人,绝密跟踪,黄海,老手,,
黑客帝国动画版 The Animatrix,攻壳机动队,阿基拉,,,,,,
杀人回忆 살인의 추억,,,,,,,,
黄海 황해,我要复仇,杀人回忆,局内人,走到尽头,,,,
速度与激情7 Furious 7,,,,,,,,
恶童 鉄コン筋クリート,,,,,,,,
椿三十郎,姿三四郎,大菩萨岭,用心棒,侍,,,,
孤胆特工 아저씨,夺宝联盟,柏林,嫌疑人,绝密跟踪,黄海,老手,,
暗杀 암살,铁雨,军舰岛,柏林,夺宝联盟,,,,
局内人 내부자들,黄海,卑劣的街头,王者,,,,,
卑劣的街头 비열한 거리,局内人,王者,极恶非道,犯罪都市,黄海,,,
走到尽头 끝까지 간다,黄海,绝密跟踪,老手,我是杀人犯,,,,
座头市 座頭市,凶暴的男人,十三刺客,大菩萨岭,极恶非道2,,,,
追捕 君よ憤怒の河を渉れ,,,,,,,,
极限职业 극한직업,极限逃生,老手,青年警察,,,,,
小人物 Nobody,犯罪都市2,,,,,,,
老手 베테랑,阿修罗,黄海,犯罪都市,绝密跟踪,夺宝联盟,走到尽头,恶人传,从邪恶中拯救我
王者 더 킹,卑劣的街头,局内人,阿修罗,老手,,,,
犯罪都市 범죄도시,犯罪都市2,恶人传,阿修罗,老手,从邪恶中拯救我,卑劣的街头,黄海,局内人
