木偶奇遇记,小鹿斑比,,,,
蒂凡尼的早餐 Breakfast at Tiffany's,罗马假日,窈窕淑女,龙凤配,魂断蓝桥,
安妮·霍尔,,,,,
寻子遇仙记,城市之光,大独裁者,,,
罗马假日,,,,,
曼哈顿,安妮·霍尔,,,,
罗马假日,,,,,
罗马假日,,,,,
窈窕淑女 My Fair Lady,蒂凡尼的早餐,龙凤配,罗马假日,魂断蓝桥,
罗马假日,,,,,
罗马假日,,,,,
罗马假日,蒂凡尼的早餐,,,,
﻿,,,,,
罗马假日,,,,,
光荣之路,现代启示录,,,,
控方证人,,,,,
控方证人,,,,,
教父2,,,,,
罗马假日,,,,,
光荣之路,现代启示录,,,,
关山飞渡,,,,,
出租车司机,,,,,
热天午后,,,,,
关山飞渡,,,,,
﻿,,,,,
控方证人 Witness for the Prosecution,十二怒汉,,,,
罗马假日,,,,,
教父,,,,,
教父 The Godfather,教父2,,,,
教父2 The Godfather: Part II,,,,,
教父2,,,,,
教父,,,,,
摩登时代,,,,,
控方证人,十二怒汉（电视版）,,,,
教父2,,,,,
出租车司机,,,,,
热天午后,,,,,
教父,,,,,
控方证人,,,,,
出租车司机,,,,,
教父2,,,,,
出租车司机,,,,,
控方证人,,,,,
控方证人,,,,,
热天午后,骗中骗,双重赔偿,,,
歌厅,音乐之声,,,,
教父2,,,,,
控方证人,十二怒汉,,,,
深闺疑云,,,,,
热天午后,,,,,
控方证人,,,,,
控方证人,,,,,
控方证人,,,,,
控方证人,,,,,
控方证人,,,,,
控方证人,,,,,
十二怒汉（电视版） Studio One: Twelve Angry Men,十二怒汉,,,,
出租车司机,,,,,
发条橙 A Clockwork Orange,出租车司机,,,,
出租车司机,,,,,
控方证人,,,,,
控方证人,,,,,
控方证人,,,,,
热天午后 Dog Day Afternoon,骗中骗,出租车司机,,,
罗马假日,,,,,
十二怒汉（电视版）,十二怒汉,,,,
控方证人,,,,,
控方证人,,,,,
出租车司机 Taxi Driver,热天午后,,,,
控方证人,,,,,
控方证人,,,,,
骗中骗 The Sting,热天午后,双重赔偿,唐人街,虎豹小霸王,
热天午后,,,,,
西部往事 C'era una volta il West,热天午后,虎豹小霸王,骗中骗,,
控方证人,,,,,
出租车司机,热天午后,,,,
出租车司机,,,,,
出租车司机,热天午后,,,,
杀死一只知更鸟 To Kill a Mockingbird,控方证人,双重赔偿,唐人街,,
热天午后,,,,,
罗斯玛丽的婴儿,,,,,
罗马假日,,,,,
关山飞渡,,,,,
控方证人,,,,,
控方证人,,,,,
罗斯玛丽的婴儿,魔女嘉莉,,,,
安妮·霍尔,,,,,
控方证人,,,,,
唐人街 Chinatown,双重赔偿,,,,
控方证人,,,,,
热天午后,,,,,
双重赔偿 Double Indemnity,唐人街,日落大道,,,
杀手之吻,热天午后,双重赔偿,,,
曼哈顿,安妮·霍尔,,,,
骗中骗,纸月亮,热天午后,满城风雨,,
热天午后,,,,,
控方证人,,,,,
控方证人,,,,,
穷街陋巷,,,,,
骗中骗,,,,,
出租车司机,,,,,
热天午后,唐人街,码头风云,,,
唐人街,,,,,
热天午后,唐人街,,,,
擒凶记,深闺疑云,辣手摧花,,,
虎豹小霸王 Butch Cassidy and the Sundance Kid,正午,关山飞渡,骗中骗,,
双重赔偿,,,,,
出租车司机,,,,,
擒凶记,深闺疑云,辣手摧花,,,
唐人街,,,,,
教父,,,,,
出租车司机,,,,,
热天午后,,,,,
双重赔偿,桃色血案,唐人街,,,
