,genre0,genre1,director0,ReleaseDate,region0
0,动画,短片,埃里康·卡萨罗,2011,美国
1,剧情,动画,杰赫米·克拉,2008,法国
2,动画,短片,徐景,1980,中国大陆
3,剧情,悬疑,奥里奥尔·保,2016,西班牙
4,剧情,动画,Dony Permed,2006,美国
5,动画,短片,亚历山大·彼德洛,1999,俄罗斯
6,动画,短片,简·皮克,1997,美国
7,短片,犯罪,埃德温·鲍,1903,美国
8,短片,家庭,艾尔伯特·拉摩里,1956,法国
9,喜剧,短片,路易斯·卢米埃,1895,法国
10,纪录片,传记,朱利安·法里,2000,英国
11,动画,短片,彭擎,2015,中国大陆
12,喜剧,动画,张松,1962,中国大陆
13,喜剧,动画,马克∙安德鲁,2005,美国
14,爱情,动画,萨施卡·昂塞尔,2013,美国
15,剧情,动画,Dony Permed,2006,美国
16,纪录片,unknown,让·鲁,1961,法国
17,动画,短片,周克,1981,中国大陆
18,动画,短片,杨·史云梅,1988,捷克斯洛伐克
19,喜剧,动画,张松,1962,中国大陆
20,剧情,动画,杰赫米·克拉,2008,法国
21,动画,短片,萨比格尼·瑞比克金斯,1981,波兰
22,剧情,动画,杰赫米·克拉,2008,法国
23,动画,短片,杨·史云梅,1988,捷克斯洛伐克
24,动画,短片,靳,1955,中国大陆
25,动画,短片,特,1960,中国大陆
26,喜剧,动画,王树,1987,中国大陆
27,动画,短片,简·皮克,1997,美国
28,短片,unknown,雷内·克莱,1924,法国
29,剧情,动画,Dony Permed,2006,美国
30,动画,unknown,森田侑,2018,日本
31,剧情,动画,菲利普·亨,2008,英国
32,短片,unknown,Michelle Lehma,2008,澳大利亚
33,动画,短片,周坚,2009,中国大陆
34,爱情,短片,埃里克·侯,1963,法国
35,动画,短片,刘蕙,1982,中国大陆
36,动画,短片,林文,1980,中国大陆
37,动画,短片,靳,1955,中国大陆
38,剧情,喜剧,Santiago Grass,2008,阿根廷
39,剧情,动画,迈克尔·度德威,2001,英国
40,喜剧,动画,凯尔·巴尔,2010,美国
41,动画,短片,周坚,2009,中国大陆
42,动画,短片,约翰·拉塞,1986,美国
43,科幻,动画,森本晃,1995,日本
44,动画,短片,曹润,2015,中国大陆
45,动画,短片,特,1960,中国大陆
46,喜剧,科幻,安格斯·麦克莱,2008,美国
47,剧情,悬疑,奥利维耶·特雷,2010,法国
48,科幻,动画,森本晃,1995,日本
49,unknown,unknown,Arlette Françoi,unknown,法国
50,剧情,短片,肖恩·克里斯汀,2012,美国
51,动画,短片,简·皮克,1997,美国
52,剧情,悬疑,奥利维耶·特雷,2010,法国
53,剧情,历史,克里斯丁·杜,2017,法国
54,动画,短片,简·皮克,1997,美国
55,短片,unknown,路易斯·卢米埃,1896,法国
56,动画,短片,布拉德·伯,2005,美国
57,剧情,短片,Po Cha,unknown,美国
58,动画,短片,万古,1959,中国大陆
59,剧情,短片,尼尔斯·布尔贡,2017,荷兰
60,纪录片,短片,路易斯·卢米埃,unknown,法国
61,动画,短片,简·皮克,1997,美国
62,剧情,爱情,卡伦·乔哈,2010,印度
63,纪录片,unknown,亚历克斯·吉布,2005,美国
64,动画,短片,刘蕙,1982,中国大陆
65,短片,家庭,艾尔伯特·拉摩里,1956,法国
66,动画,短片,宫崎,2006,日本
67,剧情,短片,克里斯托弗·迪,2016,匈牙利
68,喜剧,短片,巴斯特·基,1921,美国
69,动画,短片,布拉德·伯,2005,美国
