,genre0,genre1,director0,ReleaseDate,region0
0,剧情,喜剧,Santiago Grass,2008,阿根廷
1,剧情,动画,迈克尔·度德威,2001,英国
2,动画,短片,特,1963,中国大陆
3,剧情,悬疑,克里斯托弗·诺,2000,美国
4,剧情,动画,加藤久仁生,2008,日本
5,剧情,动画,加藤久仁生,2008,日本
6,动画,短片,拉夫·埃格尔斯,2000,美国
7,纪录片,短片,路易斯·卢米埃,1895,法国
8,剧情,短片,文牧,2014,中国大陆
9,短片,奇幻,路易斯·布努埃,1929,法国
10,纪录片,传记,迈克尔·艾普,1970,英国
11,动画,短片,玛德琳·莎拉,2020,美国
12,剧情,动画,钱家,1981,中国大陆
13,喜剧,动画,Doug Sweetlan,2008,美国
14,剧情,动画,菲利普·亨,2008,英国
15,剧情,喜剧,Santiago Grass,2008,阿根廷
16,纪录片,unknown,吉加·维尔托,1929,苏联
17,动画,短片,徐景,1980,中国大陆
18,喜剧,动画,杨·史云梅,1990,捷克斯洛伐克
19,动画,短片,徐景,1980,中国大陆
20,动画,短片,Michael Reicher,2008,德国
21,动画,短片,托默克·巴金斯,2004,波兰
22,动画,短片,Péter Vác,2012,匈牙利
23,喜剧,动画,杨·史云梅,1983,捷克斯洛伐克
24,动画,短片,特,1960,中国大陆
25,动画,短片,曲建,1981,中国大陆
26,喜剧,动画,徐景,1986,中国大陆
27,动画,短片,周坚,2009,中国大陆
28,短片,unknown,梅雅·黛,1943,美国
29,剧情,动画,加藤久仁生,2008,日本
30,动画,短片,木,2013,中国大陆
31,剧情,动画,Dony Permed,2006,美国
32,爱情,短片,帕特里克·休,2008,澳大利亚
33,动画,短片,饺,2008,中国大陆
34,剧情,unknown,艾尔伯特·拉摩里,1953,法国
35,动画,短片,靳,1955,中国大陆
36,动画,短片,徐景,1980,中国大陆
37,动画,短片,蔡渊,1985,中国大陆
38,动画,短片,Patrick Smit,2018,美国
39,剧情,动画,弗雷德里克·贝,1981,加拿大
40,喜剧,动画,埃里克·法维,2013,美国
41,动作,动画,何伟,2010,中国大陆
42,动画,短片,简·皮克,1997,美国
43,动作,动画,迈克尔·艾里亚,2006,日本
44,科幻,动画,Elizabeth Avella,2014,瑞典
45,动画,短片,唐,1982,中国大陆
46,喜剧,动画,嘉里·瑞德斯托,2007,美国
47,剧情,短片,菲利普·桑,2008,英国
48,剧情,爱情,今,2001,日本
49,纪录片,unknown,周華,unknown,中国香港
50,爱情,短片,胡安乔·希门尼斯·佩,2016,西班牙
51,喜剧,动画,卡洛斯·沙尔丹,2002,美国
52,剧情,短片,毕鑫,2013,中国大陆
53,剧情,战争,萝拉·多尔,2016,法国
54,喜剧,动画,尼克·帕,1995,英国
55,纪录片,短片,路易斯·卢米埃,1895,法国
56,动画,短片,简·皮克,1997,美国
57,剧情,短片,达斯汀·巴拉,2009,美国
58,动画,短片,钱家,1981,中国大陆
59,剧情,爱情,丹尼尔·里贝,2014,巴西
60,喜剧,短片,路易斯·卢米埃,1895,法国
61,动画,短片,克里斯·雷纳,2006,美国
62,短片,unknown,尹丽川,2010,中国大陆
63,纪录片,unknown,彼得·W·孔哈,2017,美国
64,动画,短片,曲建,1983,中国大陆
65,短片,unknown,朱莉·戈蒂,2018,法国
66,剧情,喜剧,高畑,1994,日本
67,剧情,短片,杰瑞米·康,2018,加拿大
68,喜剧,短片,爱德华·克莱,1920,美国
69,喜剧,动画,嘉里·瑞德斯托,2007,美国
70,喜剧,动画,Doug Sweetlan,2008,美国
71,剧情,喜剧,理查德·柯蒂,2003,英国
72,短片,unknown,梅雅·黛,1944,美国
73,动画,短片,周克,1981,中国大陆
74,剧情,短片,肖恩·克里斯汀,2012,美国
75,动画,短片,John Puglis,2010,美国
76,动画,短片,Bobby Rubi,2019,美国
77,动画,短片,汤柏,2013,中国大陆
78,动画,短片,曲建,1986,中国大陆
79,剧情,动画,克里斯托弗·劳恩斯,1989,西德
80,纪录片,unknown,焦,unknown,中国大陆
81,恐怖,短片,斯坦·温斯,1997,美国
82,短片,音乐,Jason Koeni,2017,英国
83,动画,短片,曲建,1983,中国大陆
84,动画,短片,曲建,1983,中国大陆
85,剧情,喜剧,渡边信一,2001,日本
86,动画,短片,亚当·派瑟帕,2012,美国
87,动画,短片,拉夫·埃格尔斯,2000,美国
88,动画,短片,康斯坦汀·布朗,2014,俄罗斯
89,喜剧,动画,尤金·法德仁科,unknown,加拿大
90,喜剧,动画,尼克·帕,1993,英国
91,动画,短片,凯文·迪特,2017,美国
92,喜剧,科幻,唐·赫兹菲尔,2015,美国
93,动画,短片,新海,2013,日本
94,动画,短片,谭晓,2010,中国大陆
95,动画,短片,维克多·凯,2017,法国
96,短片,同性,unknown,2019,泰国
97,动画,短片,彭擎,2017,中国大陆
98,动画,短片,曲建,1984,中国大陆
99,动画,短片,戴铁,1982,中国大陆
100,喜剧,短片,爱德华·克莱,1920,美国
101,剧情,动画,加藤久仁生,2008,日本
102,喜剧,科幻,吴坤,2014,韩国
103,动画,短片,木,2011,中国大陆
104,动画,短片,曲建,1986,中国大陆
105,动画,音乐,亨利·塞利,1993,美国
106,动画,短片,玛德琳·莎拉,2020,美国
107,动画,短片,曲建,1986,中国大陆
108,动画,短片,曲建,1986,中国大陆
109,短片,奇幻,路易斯·布努埃,1929,法国
110,动画,短片,饺,2008,中国大陆
111,喜剧,动画,法布里斯·朱伯,2013,美国
112,恐怖,短片,约翰·兰迪,1983,美国
113,科幻,动画,Ben Da,2016,美国
114,动作,动画,林,2014,中国大陆
115,动作,动画,François Alau,2009,法国
116,短片,unknown,路易斯·勒·普林,1888,英国
117,动作,动画,何伟,2010,中国大陆
118,喜剧,动画,史蒂夫·马蒂,2011,美国
119,动画,短片,托默克·巴金斯,2004,波兰
120,喜剧,科幻,唐·赫兹菲尔,2017,美国
121,动画,短片,Géza M. Tót,2005,匈牙利
122,喜剧,动画,约瑟夫·巴伯,1949,美国
123,动画,短片,曲建,1986,中国大陆
124,喜剧,动画,李智,2007,中国大陆
125,喜剧,动画,亚罗·切,2013,美国
126,纪录片,unknown,华天,2012,中国台湾
127,喜剧,动画,Friz Frelen,1950,美国
128,科幻,短片,卢克·斯科,2017,美国
129,剧情,爱情,安德鲁·戈德史密,2018,澳大利亚
130,动画,短片,曲建,1986,中国大陆
131,剧情,动画,安德鲁·鲁赫,2010,澳大利亚
132,动画,短片,彭擎,2017,中国大陆
133,动画,短片,虞哲,1955,中国大陆
134,短片,unknown,李,unknown,中国大陆
135,动画,短片,埃里康·卡萨罗,2011,美国
136,喜剧,动画,凯尔·巴尔,2010,美国
137,喜剧,短片,查理·卓别,1918,美国
138,动画,短片,Marie Opro,2010,法国
139,动画,短片,Karina Fare,2015,美国
140,爱情,同性,盖伊·沙勒,unknown,美国
141,喜剧,动作,黄蓝,unknown,中国大陆
142,动画,短片,提姆·约翰,2019,美国
143,动画,短片,木,2013,中国大陆
