,genre0,genre1,director0,ReleaseDate,region0
0,剧情,爱情,尼克·卡萨维,2004,美国
1,动作,奇幻,戈尔·维宾斯,2003,美国
2,剧情,传记,史蒂文·斯皮尔伯,2002,美国
3,动作,奇幻,戈尔·维宾斯,2003,美国
4,剧情,历史,黑泽,1980,日本
5,动作,奇幻,戈尔·维宾斯,2003,美国
6,动作,科幻,詹姆斯·卡梅,2009,美国
7,喜剧,动作,周星,2004,中国大陆
8,剧情,悬疑,马丁·斯科塞,2010,美国
9,剧情,悬疑,克里斯托弗·诺,2000,美国
10,剧情,历史,让-雅克·阿,2001,爱尔兰
11,喜剧,动作,李力,1994,中国香港
12,动作,科幻,迈克尔·,2007,美国
13,动作,科幻,大友克,1988,日本
14,剧情,动作,彼得·杰克,2001,新西兰
15,剧情,喜剧,王,1989,中国香港
16,动作,科幻,乔恩·费,2008,美国
17,剧情,喜剧,昆汀·塔伦蒂,1994,美国
18,动作,科幻,亚历克斯·普罗亚,2004,美国
19,动作,惊悚,布莱恩·德·帕尔,1996,美国
20,剧情,动作,游达,1998,中国香港
21,剧情,科幻,克里斯托弗·诺,2014,美国
22,剧情,爱情,王家,1994,中国香港
23,动作,科幻,亚历克斯·普罗亚,2004,美国
24,喜剧,动画,卡洛斯·沙尔丹,2002,美国
25,剧情,爱情,李,2000,中国台湾
26,动作,科幻,史蒂文·斯皮尔伯,2018,美国
27,动作,科幻,亚历克斯·普罗亚,2004,美国
28,动作,惊悚,布莱恩·德·帕尔,1996,美国
29,悬疑,惊悚,温子,2013,美国
30,剧情,动作,王家,2008,中国香港
31,剧情,喜剧,吴宇,1991,中国香港
32,剧情,惊悚,凯瑟琳·毕格,2008,美国
33,动画,奇幻,宫崎,1986,日本
34,剧情,惊悚,尔冬,2007,中国香港
35,动作,惊悚,布莱恩·德·帕尔,1996,美国
36,动作,奇幻,戈尔·维宾斯,2006,美国
37,动作,科幻,安东尼·罗,2016,美国
38,动作,悬疑,保罗·格林格拉,2007,美国
39,喜剧,动作,袁和,1993,中国香港
40,剧情,悬疑,克里斯托弗·诺,2000,美国
41,动作,历史,雷德利·斯科,2001,美国
42,动作,科幻,乔恩·费,2008,美国
43,剧情,unknown,尹钟,2018,韩国
44,剧情,动作,黑泽,1954,日本
45,剧情,动作,克里斯托弗·诺,2005,美国
46,动作,悬疑,保罗·格林格拉,2007,美国
47,剧情,动作,皮埃尔·莫瑞,2008,法国
48,动作,奇幻,戈尔·维宾斯,2006,美国
49,剧情,unknown,小林正,1967,日本
50,剧情,动作,林超,2016,中国大陆
51,喜剧,动作,王,1992,中国香港
52,喜剧,犯罪,宁,2006,中国大陆
53,动作,科幻,安东尼·罗,2014,美国
54,喜剧,动作,周星,2004,中国大陆
55,动作,犯罪,林诣,2011,美国
56,奇幻,冒险,克里斯·哥伦,2002,英国
57,动作,奇幻,戈尔·维宾斯,2006,美国
58,动作,犯罪,刘伟,1996,中国香港
59,剧情,动作,托尼·斯科,1998,美国
60,剧情,喜剧,王,1994,中国香港
61,喜剧,动作,李力,1996,中国香港
62,动作,惊悚,弗兰克·米,2005,美国
63,剧情,动作,吴宇,1992,中国香港
64,科幻,惊悚,斯坦利·库布里,1968,英国
65,动作,科幻,拉娜·沃卓斯,2003,美国
66,剧情,动作,吴宇,1989,中国香港
67,动作,科幻,拉娜·沃卓斯,2003,美国
