,genre0,genre1,director0,ReleaseDate,region0
0,动画,短片,戴夫·穆林,2017,美国
1,动画,奇幻,宫崎,1986,日本
2,动画,短片,亚历山大·彼德洛,1999,俄罗斯
3,悬疑,惊悚,克里斯托弗·诺,1998,英国
4,动画,短片,徐景,1980,中国大陆
5,动画,短片,简·皮克,1997,美国
6,喜剧,动画,马克∙安德鲁,2005,美国
7,短片,unknown,路易斯·勒·普林,1888,法国
8,爱情,短片,胡安乔·希门尼斯·佩,2016,西班牙
9,剧情,爱情,克里斯·马,1962,法国
10,纪录片,unknown,扬·阿尔蒂斯-贝特,2019,法国
11,动画,unknown,扬·拉豪,2016,英国
12,动画,短片,万古,1959,中国大陆
13,动画,短片,布拉德·伯,2005,美国
14,喜剧,动画,Doug Sweetlan,2008,美国
15,动画,短片,Neil Coslet,2003,英国
16,纪录片,unknown,尤里斯·伊文,1988,法国
17,动画,短片,钱家,1981,中国大陆
18,动画,短片,杨·史云梅,1965,奥地利
19,动画,短片,钱家,1981,中国大陆
20,剧情,动画,迈克尔·度德威,2001,英国
21,喜剧,动画,尤金·法德仁科,unknown,加拿大
22,爱情,动画,萨施卡·昂塞尔,2013,美国
23,动画,短片,杨·史云梅,unknown,捷克斯洛伐克
24,动画,短片,钱家,1981,中国大陆
25,喜剧,动画,张松,1962,中国大陆
26,动画,短片,特,1960,中国大陆
27,喜剧,动画,Doug Sweetlan,2008,美国
28,喜剧,动作,乔治·梅里,1902,法国
29,动画,短片,Jonathan Klasse,2009,美国
30,动画,短片,徐景,1980,中国大陆
31,动画,短片,拉夫·埃格尔斯,2000,美国
32,剧情,短片,菲利普·桑,2008,英国
33,动画,短片,托默克·巴金斯,2004,波兰
34,纪录片,短片,奥古斯特·卢米埃,1896,法国
35,动画,短片,胡进,1984,中国大陆
36,动画,短片,钱家,1981,中国大陆
37,动画,短片,何玉,1958,中国大陆
38,动画,短片,史提夫·卡,2017,美国
39,动画,短片,托默克·巴金斯,2004,波兰
40,动画,短片,唐伯,2013,中国大陆
41,动画,短片,拉夫·埃格尔斯,2000,美国
42,动画,短片,巴德·乐,2004,美国
43,动画,短片,加藤久仁生,2003,日本
44,动作,科幻,押井,1995,日本
45,剧情,动画,特,1985,中国大陆
46,动画,短片,约翰·拉塞,1986,美国
47,剧情,短片,达斯汀·巴拉,2009,美国
48,动画,冒险,今,unknown,日本
49,纪录片,unknown,扬·阿尔蒂斯-贝特,2019,法国
50,短片,unknown,朱莉·戈蒂,2018,法国
51,喜剧,科幻,安格斯·麦克莱,2008,美国
52,剧情,爱情,陈可,1996,中国香港
53,剧情,历史,埃尔莫·纽加,2015,爱沙尼亚
54,动画,短片,拉夫·埃格尔斯,2000,美国
55,短片,unknown,乔治·阿尔培特·史密,1900,英国
56,动画,短片,约翰·拉塞,1989,美国
