,genre0,genre1,director0,ReleaseDate,region0
0,动画,短片,特,1960,中国大陆
1,动画,短片,Michael Reicher,2008,德国
2,剧情,动画,特,1956,中国大陆
3,剧情,悬疑,詹姆斯·曼高,2003,美国
4,剧情,动画,迈克尔·度德威,2001,英国
5,动画,短片,拉夫·埃格尔斯,2000,美国
6,喜剧,动画,嘉里·瑞德斯托,2007,美国
7,短片,奇幻,路易斯·布努埃,1929,法国
8,纪录片,短片,奥古斯特·卢米埃,1896,法国
9,喜剧,科幻,乔治·梅里,1898,法国
10,纪录片,unknown,杰夫·奥洛威斯,2020,美国
11,动画,短片,今,unknown,日本
12,动画,短片,周克,1981,中国大陆
13,动画,短片,克里斯·雷纳,2006,美国
14,剧情,动画,杰赫米·克拉,2008,法国
15,剧情,动画,迈克尔·度德威,2001,英国
16,纪录片,unknown,沃尔特·鲁特,1927,德国
17,喜剧,动画,张松,1962,中国大陆
18,动画,短片,杨·史云梅,1991,英国
19,动画,短片,周克,1981,中国大陆
20,剧情,动画,菲利普·亨,2008,英国
21,剧情,喜剧,Santiago Grass,2008,阿根廷
22,动画,短片,埃里康·卡萨罗,2011,美国
23,动画,短片,杨·史云梅,1991,英国
24,动画,短片,周克,1981,中国大陆
25,动画,短片,徐景,1980,中国大陆
26,动画,短片,虞哲,1981,中国大陆
27,剧情,动画,加藤久仁生,2008,日本
28,短片,unknown,费尔南德·莱,unknown,法国
29,剧情,动画,杰赫米·克拉,2008,法国
30,爱情,动画,王,2016,中国大陆
31,剧情,动画,克里斯托弗·劳恩斯,1989,西德
32,喜剧,爱情,库特·库恩,2007,美国
33,动作,爱情,何伟,2010,中国大陆
34,剧情,喜剧,让·维,1933,法国
35,动画,短片,阎善,1980,中国大陆
36,动画,短片,周克,1981,中国大陆
37,动画,短片,虞哲,1955,中国大陆
38,剧情,动作,Léonard Cohe,2011,法国
39,动画,短片,特,1988,中国大陆
40,喜剧,动画,凯尔·巴尔,2015,美国
41,喜剧,动画,马克∙安德鲁,2005,美国
42,动画,短片,布拉德·伯,2005,美国
43,动画,惊悚,森田修,2005,日本
44,喜剧,科幻,唐·赫兹菲尔,2015,美国
45,动画,短片,胡进,unknown,中国大陆
46,动画,短片,布拉德·伯,2005,美国
47,剧情,短片,肖恩·克里斯汀,2012,美国
48,喜剧,动画,汤浅政,2004,日本
49,纪录片,unknown,蒋能,unknown,中国大陆
50,短片,家庭,艾尔伯特·拉摩里,1956,法国
51,喜剧,动画,马克∙安德鲁,2005,美国
52,喜剧,短片,陈凯,2002,中国大陆
53,剧情,unknown,佩波·丹科瓦,2013,德国
54,喜剧,动画,Doug Sweetlan,2008,美国
55,动作,短片,埃德温·鲍,1903,美国
56,动画,短片,约翰·拉塞,1986,美国
57,剧情,短片,斯派克·琼,2010,美国
58,动画,短片,胡进,1984,中国大陆
59,爱情,同性,米莎·坎,2014,荷兰
60,动作,短片,埃德温·鲍,1903,美国
61,喜剧,动画,马克∙安德鲁,2005,美国
62,爱情,短片,帕特里克·休,2008,澳大利亚
63,unknown,unknown,John Maggi,2018,美国
64,动画,短片,詹,1982,中国大陆
65,动画,短片,丹尼尔·克劳德·坎波,2016,美国
66,动画,奇幻,宫崎,1997,日本
67,剧情,短片,文牧,2014,中国大陆
68,喜剧,短片,爱德华·克莱,1921,美国
69,动画,短片,约翰·拉塞,1986,美国
70,动画,短片,Jim Capobianc,2007,美国
71,剧情,喜剧,罗伯·莱,1989,美国
72,短片,unknown,梅雅·黛,1958,美国
73,喜剧,动画,张松,1962,中国大陆
74,剧情,短片,本杰明·克利,2015,英国
75,喜剧,动作,汤姆·麦格拉,2010,美国
76,动画,短片,瓦莱丽·拉普安,2020,美国
77,动画,短片,郑,2017,中国大陆
78,动画,短片,詹,1982,中国大陆
79,动画,短片,萨比格尼·瑞比克金斯,1981,波兰
80,剧情,纪录片,张以,unknown,中国大陆
81,音乐,奇幻,科林·奇尔弗,1988,美国
82,恐怖,短片,Rory Kindersle,2008,美国
83,动画,短片,何玉,1958,中国大陆
84,动画,短片,方润,1979,中国大陆
85,动作,科幻,押井,1995,日本
86,动画,短片,Péter Vác,2012,匈牙利
87,动画,短片,约翰·拉塞,1989,美国
88,动画,短片,兰茜,2016,美国
89,动画,短片,米谢拉·帕夫拉托,1991,捷克斯洛伐克
90,动画,短片,简·皮克,1997,美国
91,爱情,动画,罗恩·克莱蒙,1989,美国
92,动画,短片,Jacob Fre,2015,德国
93,动画,短片,石田祐,2014,日本
94,剧情,动画,加藤久仁生,2008,日本
95,剧情,动画,特雷弗·希门尼,2017,美国
96,短片,同性,Tim Matti,2015,美国
97,动画,短片,彭擎,2022,中国大陆
98,动画,短片,詹,1982,中国大陆
99,动画,短片,靳,1979,中国大陆
100,喜剧,短片,爱德华·克莱,1921,美国
101,剧情,动画,弗雷德里克·贝,1981,加拿大
102,动画,短片,玛德琳·莎拉,2013,美国
103,动画,短片,彭擎,2015,中国大陆
104,喜剧,动画,王柏,unknown,中国大陆
105,动画,短片,简·皮克,1997,美国
106,动画,短片,埃里康·卡萨罗,2011,美国
107,动画,短片,万古,1958,中国大陆
108,动画,短片,尤,1982,中国大陆
109,剧情,喜剧,黄建,1986,中国大陆
110,动作,爱情,何伟,2010,中国大陆
111,喜剧,动画,凯尔·巴尔,2015,美国
112,短片,音乐,保罗·亨,2001,美国
113,短片,奇幻,Marc Messenge,2014,美国
114,动画,奇幻,王树,1983,中国大陆
115,喜剧,动画,马克∙安德鲁,2005,美国
116,纪录片,短片,奥古斯特·卢米埃,1896,法国
117,动画,短片,Jamie Bel,2010,英国
