,genre0,genre1,director0,ReleaseDate,region0
0,剧情,喜剧,让-皮埃尔·热,2001,法国
1,剧情,战争,史蒂文·斯皮尔伯,1998,美国
2,剧情,科幻,克里斯托弗·诺,2010,美国
3,剧情,动作,雷德利·斯科,2000,美国
4,动作,历史,雷德利·斯科,2001,美国
5,动作,奇幻,斯科特·德瑞克,2016,美国
6,剧情,科幻,史蒂文·斯皮尔伯,1982,美国
7,喜剧,爱情,刘镇,1995,中国香港
8,剧情,悬疑,大卫·林,2001,法国
9,剧情,传记,史蒂文·斯皮尔伯,2002,美国
10,剧情,传记,梅尔·吉布,2016,澳大利亚
11,剧情,喜剧,周星,1999,中国香港
12,动作,科幻,乔恩·费,2008,美国
13,剧情,喜剧,今,2003,日本
14,动作,奇幻,斯科特·德瑞克,2016,美国
15,剧情,喜剧,周星,1999,中国香港
16,剧情,动作,布莱恩·辛,2014,美国
17,惊悚,犯罪,昆汀·塔伦蒂,1992,美国
18,剧情,动作,尼尔·布洛姆坎,2009,美国
19,动作,科幻,拉娜·沃卓斯,2003,美国
20,剧情,传记,潘文,1991,中国香港
21,动作,科幻,安东尼·罗,2016,美国
22,剧情,爱情,陈可,1996,中国香港
23,动作,科幻,乔恩·费,2008,美国
24,动画,奇幻,迪恩·德布洛,2010,美国
25,剧情,动作,陈嘉,1994,中国香港
26,剧情,动作,布莱恩·辛,2014,美国
27,剧情,动作,弗朗西斯·劳伦,2007,美国
28,动作,科幻,拉娜·沃卓斯,2003,美国
29,剧情,惊悚,乔纳森·戴,1991,美国
30,剧情,爱情,关锦,1987,中国香港
31,剧情,犯罪,赛尔乔·莱昂,1984,美国
32,剧情,动作,乔纳森·莫斯,2000,法国
33,动作,科幻,乔恩·费,2008,美国
34,剧情,动作,吴宇,1989,中国香港
35,动作,科幻,拉娜·沃卓斯,2003,美国
36,动画,奇幻,迪恩·德布洛,2014,美国
37,剧情,动作,布莱恩·辛,2014,美国
38,剧情,动作,托尼·斯科,1998,美国
39,动作,奇幻,王,1993,中国香港
40,剧情,悬疑,大卫·芬,1995,美国
41,动作,冒险,迈克尔·,1996,美国
42,剧情,动作,布莱恩·辛,2014,美国
43,剧情,犯罪,朴勋,2013,韩国
44,剧情,战争,弗朗西斯·福特·科波,1979,美国
45,科幻,惊悚,雷德利·斯科,1982,美国
46,动作,惊悚,布莱恩·德·帕尔,1996,美国
47,剧情,传记,史蒂文·斯皮尔伯,2002,美国
48,动画,奇幻,迪恩·德布洛,2014,美国
49,剧情,历史,黑泽,1980,日本
50,动作,科幻,乔恩·费,2008,美国
51,喜剧,动作,谷德,1996,中国香港
52,剧情,喜剧,姜,2010,中国大陆
53,动作,科幻,詹姆斯·古,2014,美国
54,喜剧,犯罪,宁,2006,中国大陆
55,动作,科幻,拉娜·沃卓斯,2003,美国
56,动作,奇幻,斯科特·德瑞克,2016,美国
57,动画,奇幻,迪恩·德布洛,2014,美国
58,剧情,喜剧,吴宇,1991,中国香港
59,剧情,动作,雷德利·斯科,2000,美国
60,喜剧,动作,陈嘉,1991,中国香港
61,喜剧,科幻,叶伟,1995,中国香港
62,剧情,科幻,斯坦利·库布里,1971,英国
63,剧情,动作,杜琪,1999,中国香港
64,剧情,动作,尼尔·布洛姆坎,2009,美国
65,动作,科幻,布莱恩·辛,2000,美国
66,剧情,动作,刘伟,1996,中国香港
67,剧情,科幻,邓肯·琼,2009,英国
68,动作,科幻,迈克尔·,2007,美国
69,剧情,犯罪,费尔南多·梅里尔,2002,巴西
70,喜剧,动作,周星,2004,中国大陆
71,动作,科幻,迈克尔·,2007,美国
72,剧情,动作,西蒙·韦斯,1997,美国
73,剧情,动作,尔冬,1995,中国香港
74,剧情,传记,冯小,2007,中国大陆
75,剧情,动作,杜琪,1998,中国香港
76,剧情,动作,王,1994,中国香港
77,悬疑,惊悚,布莱恩·辛,1995,德国
78,剧情,喜剧,西德尼·吕美,1975,美国
79,剧情,动作,布莱恩·辛,2014,美国
80,惊悚,犯罪,史蒂文·索德伯,2001,美国
81,剧情,动作,胡金,1970,中国台湾
82,动作,科幻,吴宇,1997,美国
83,动作,科幻,佩顿·里,2015,美国
84,喜剧,恐怖,刘镇,1995,中国香港
85,剧情,爱情,程小,1992,中国香港
86,喜剧,动画,埃里克·达尼,2005,美国
87,剧情,动作,尼尔·布洛姆坎,2009,美国
88,剧情,喜剧,昆汀·塔伦蒂,1994,美国
89,科幻,惊悚,史蒂文·斯皮尔伯,1993,美国
90,动作,科幻,詹姆斯·古,2014,美国
91,剧情,动作,元,1995,中国香港
92,剧情,动作,弗朗西斯·劳伦,2007,美国
93,动作,奇幻,阿兰·泰,2013,美国
94,动作,历史,雷德利·斯科,2001,美国
95,喜剧,科幻,罗伯特·泽米吉,1985,美国
96,动画,短片,陈,2018,中国大陆
97,喜剧,动画,安德鲁·亚当,2001,美国
98,剧情,动作,路,2014,中国大陆
99,动作,奇幻,温子,2018,美国
100,喜剧,动作,周星,2001,中国香港
101,喜剧,动作,巴里·索南菲尔,1997,美国
102,动作,科幻,佩顿·里,2015,美国
103,喜剧,unknown,冯小,2001,中国大陆
104,剧情,喜剧,王,1994,中国香港
105,喜剧,动作,周星,2001,中国香港
106,喜剧,动作,元,1990,中国香港
107,动作,武侠,张鑫,1982,中国大陆
108,剧情,喜剧,王,1990,中国香港
109,剧情,喜剧,今,2003,日本
110,动作,科幻,路易斯·莱特里,2008,美国
111,科幻,惊悚,斯坦利·库布里,1968,英国
112,剧情,动作,罗泓,2010,韩国
113,科幻,惊悚,史蒂文·斯皮尔伯,1993,美国
114,动作,科幻,布莱恩·辛,2000,美国
115,喜剧,科幻,叶伟,1995,中国香港
116,动作,科幻,川尻善,2003,美国
117,动作,惊悚,伦·怀斯,2007,美国
118,动作,科幻,亚历克斯·普罗亚,2004,美国
119,剧情,动作,林超,2016,中国大陆
120,喜剧,动作,唐季,1995,中国香港
