,genre0,genre1,director0,ReleaseDate,region0
0,剧情,爱情,陈可,1996,中国香港
1,剧情,历史,克里斯托弗·诺,2017,英国
2,剧情,传记,汤姆·霍,2010,英国
3,剧情,爱情,维克多·弗莱,1939,美国
4,剧情,爱情,陈可,1996,中国香港
5,喜剧,动作,李力,1996,中国香港
6,剧情,爱情,罗伯特·泽米吉,1994,美国
7,剧情,喜剧,查理·卓别,1940,美国
8,剧情,爱情,维克多·弗莱,1939,美国
9,剧情,爱情,达米恩·查泽,2016,美国
10,剧情,喜剧,让-皮埃尔·热,2001,法国
11,喜剧,动作,巴斯特·基,1924,美国
12,剧情,unknown,杨德,1994,中国台湾
13,剧情,爱情,尼克·卡萨维,2004,美国
14,剧情,爱情,费,1948,中国大陆
15,剧情,传记,朗·霍华,2001,美国
16,喜剧,动作,李力,1996,中国香港
17,剧情,爱情,王家,1990,中国香港
18,剧情,爱情,乔·赖,2005,法国
19,剧情,同性,罗宾·坎皮,2017,法国
20,剧情,喜剧,让-皮埃尔·热,2001,法国
21,剧情,传记,大卫·安斯鲍,1993,美国
22,剧情,爱情,克林特·伊斯特伍,1995,美国
23,剧情,喜剧,威廉·惠,1953,美国
24,剧情,爱情,詹姆斯·卡梅,1997,美国
25,剧情,爱情,岩井俊,1995,日本
26,剧情,爱情,托德·海因,2015,英国
27,剧情,爱情,达米恩·查泽,2016,美国
28,剧情,动画,万籁,1961,中国大陆
29,爱情,奇幻,程小,1987,中国香港
30,剧情,爱情,乔·赖,2007,英国
31,剧情,爱情,高畑,1991,日本
32,剧情,爱情,诺夫·舒贝,1999,德国
33,剧情,爱情,乔·赖,2005,法国
34,喜剧,爱情,理查德·柯蒂,2013,英国
35,喜剧,动作,陈嘉,1991,中国香港
36,剧情,喜剧,让-皮埃尔·热,2001,法国
37,剧情,爱情,王家,2000,中国香港
38,剧情,爱情,尼克·卡萨维,2004,美国
39,剧情,爱情,达米恩·查泽,2016,美国
40,剧情,爱情,王家,1994,中国香港
41,剧情,爱情,土井裕,2021,日本
42,喜剧,动作,周星,2004,中国大陆
43,剧情,爱情,陈可,1996,中国香港
44,剧情,家庭,罗伯特·雷德,1992,美国
45,喜剧,动作,陈嘉,1991,中国香港
46,剧情,喜剧,布莱克·爱德华,1961,美国
47,动画,奇幻,宫崎,1986,日本
48,剧情,爱情,关锦,1987,中国香港
49,剧情,爱情,王家,1994,中国香港
50,剧情,爱情,乔·赖,2005,法国
51,剧情,动作,陈嘉,1994,中国香港
52,剧情,喜剧,让-皮埃尔·热,2001,法国
53,喜剧,战争,查理·卓别,1918,美国
54,剧情,家庭,罗曼·波兰斯,2005,英国
55,剧情,爱情,达米恩·查泽,2016,美国
56,剧情,喜剧,查理·卓别,1921,美国
57,剧情,爱情,达米恩·查泽,2016,美国
58,剧情,爱情,关锦,1987,中国香港
59,剧情,爱情,詹姆斯·卡梅,1997,美国
60,剧情,喜剧,拉吉库马尔·希拉,2009,印度
61,剧情,喜剧,布莱克·爱德华,1961,美国
62,剧情,爱情,乔·赖,2005,法国
63,喜剧,爱情,罗杰·米歇,1999,英国
64,剧情,爱情,罗勒·莎,2011,美国
65,剧情,爱情,王家,2000,中国香港
66,剧情,爱情,谢米姆·萨尔,2007,南非
67,剧情,爱情,维克多·弗莱,1939,美国
68,剧情,爱情,王家,2000,中国香港
69,剧情,爱情,格斯·范·桑,1991,美国
70,剧情,爱情,今,2001,日本
71,剧情,爱情,萨姆·门德,2008,美国
72,剧情,历史,侯孝,1989,中国台湾
73,喜剧,爱情,亚历山大·雅,1993,法国
74,爱情,动画,新海,2013,日本
75,剧情,喜剧,让-皮埃尔·热,2001,法国
76,剧情,爱情,理查德·林克莱,1995,美国
77,喜剧,悬疑,阿尔弗雷德·希区柯,1938,英国
78,剧情,历史,侯孝,1989,中国台湾
79,喜剧,爱情,斯坦利·多,1952,美国
80,剧情,爱情,王家,1990,中国香港
81,剧情,爱情,埃里克·侯,1998,法国
82,喜剧,动作,李力,1994,中国香港
83,剧情,爱情,张艺,1999,中国大陆
84,剧情,unknown,杨德,1994,中国台湾
85,剧情,爱情,王家,2000,中国香港
86,剧情,动作,陈嘉,1994,中国香港
87,剧情,爱情,诺亚·鲍姆巴,2019,英国
88,剧情,爱情,托德·海因,2015,英国
89,剧情,爱情,英格玛·伯格,1957,瑞典
90,剧情,爱情,茂文·勒鲁,1940,美国
91,剧情,喜剧,乔纳森·戴,2006,美国
92,喜剧,动画,高畑,1999,日本
93,剧情,爱情,安东尼·明格,1996,美国
94,喜剧,爱情,约翰·卡,2013,美国
95,动作,奇幻,王,1993,中国香港
96,剧情,喜剧,马克·韦,2009,美国
97,剧情,unknown,维姆·文德,1984,西德
98,剧情,爱情,卢卡·瓜达尼,2017,意大利
99,剧情,爱情,伍迪·艾,2011,西班牙
100,剧情,动画,克里斯·巴,1999,美国
101,剧情,喜剧,郭在,2001,韩国
102,喜剧,爱情,陈可,1994,中国香港
103,喜剧,爱情,伍迪·艾,1996,美国
104,剧情,爱情,关锦,1987,中国香港
105,剧情,爱情,托德·海因,2015,英国
106,剧情,同性,莫滕·泰杜,2014,英国
107,剧情,爱情,谢米姆·萨尔,2007,南非
108,喜剧,unknown,雅克·塔,1967,法国
109,纪录片,歌舞,维姆·文德,2011,德国
110,剧情,同性,罗宾·坎皮,2017,法国
111,剧情,爱情,谢,1990,中国大陆
112,剧情,爱情,王家,2000,中国香港
113,喜剧,犯罪,盖·里,2000,英国
114,剧情,爱情,娄,2000,中国大陆
115,剧情,爱情,约翰·卡,2006,美国
116,剧情,喜剧,伍迪·艾,1977,美国
117,剧情,unknown,维姆·文德,1984,西德
118,剧情,爱情,茂文·勒鲁,1940,美国
119,动画,奇幻,宫崎,1989,日本
120,剧情,动作,尔冬,1995,中国香港
121,剧情,悬疑,大卫·芬,2014,美国
122,剧情,喜剧,拉吉库马尔·希拉,2009,印度
123,剧情,爱情,让-皮埃尔·热,2004,法国
124,剧情,家庭,王,1997,中国台湾
125,剧情,喜剧,诺拉·艾芙,1993,美国
126,喜剧,爱情,徐,1996,中国香港
127,剧情,家庭,朗·霍华,2005,美国
128,喜剧,动画,宫崎,1992,日本
129,剧情,爱情,罗勒·莎,2011,美国
130,喜剧,奇幻,伍迪·艾,1983,美国
131,剧情,爱情,尼克·卡萨维,2004,美国
132,剧情,家庭,王,2012,中国大陆
133,剧情,爱情,王家,2000,中国香港
134,剧情,音乐,朱塞佩·托纳多,1998,意大利
135,剧情,爱情,尔冬,1993,中国香港
136,剧情,爱情,乔·赖,2007,英国
137,剧情,爱情,达米恩·查泽,2016,美国
138,剧情,爱情,理查德·林克莱,2004,美国
139,剧情,喜剧,徐誉,2018,中国台湾
140,剧情,爱情,克日什托夫·基耶斯洛夫斯,1993,法国
141,剧情,爱情,李,2005,美国
142,喜剧,动作,巴斯特·基,1924,美国
143,剧情,爱情,佩德罗·阿莫多,2002,西班牙
144,剧情,爱情,关锦,1987,中国香港
145,剧情,喜剧,王家,1995,中国香港
146,喜剧,爱情,加里·特洛斯达,1991,美国
147,动画,奇幻,黄玉,2009,中国大陆
148,动画,奇幻,王树,1983,中国大陆
149,剧情,爱情,李宰,2004,韩国
150,剧情,unknown,娄,2014,中国大陆
151,剧情,喜剧,理查德·柯蒂,2003,英国
152,剧情,喜剧,埃里克·侯,1990,法国
153,喜剧,动作,唐季,1995,中国香港
154,剧情,爱情,尼克·卡萨维,2004,美国
155,剧情,爱情,理查德·林克莱,1995,美国
156,剧情,爱情,理查德·林克莱,2004,美国
157,剧情,喜剧,伍迪·艾,1977,美国
158,剧情,喜剧,肯·卡皮,2009,美国
159,剧情,动画,戴维·汉,1942,美国
160,剧情,战争,让·雷诺,1937,法国
